"sentID","compLower","popularity","nComp","percent"
1,"de koffie",28,52,56
1,"de thee",22,52,43.1372549019608
1,"de koster",1,52,1.92307692307692
1,"gi",1,52,1.92307692307692
2,"een boek",20,51,39.2156862745098
2,"het boek",7,51,13.7254901960784
2,"de brochure",4,51,7.69230769230769
2,"de informatie",3,51,5.76923076923077
2,"een artikel",2,51,3.84615384615385
2,"het artikel",2,51,3.84615384615385
2,"het tijdschrift",2,51,3.84615384615385
2,"dat artikel",1,51,1.92307692307692
2,"dat boek",1,51,1.92307692307692
2,"de avonturen",1,51,1.92307692307692
2,"de boeken",1,51,1.92307692307692
2,"de folder",1,51,1.92307692307692
2,"een brochure",1,51,1.92307692307692
2,"een interview",1,51,1.92307692307692
2,"een tijdschrift",1,51,1.92307692307692
2,"gi",1,51,1.92307692307692
2,"het handboek",1,51,1.92307692307692
2,"het lezen",1,51,1.92307692307692
3,"de chocolade",21,52,41.1764705882353
3,"de boter",20,52,39.2156862745098
3,"de chocola",10,52,19.6078431372549
3,"gi",1,52,1.92307692307692
4,"de fiets",48,50,92.3076923076923
4,"hun fiets",1,50,1.92307692307692
4,"hun kantoor",1,50,1.92307692307692
5,"de schat",50,52,96.1538461538462
5,"een schat",1,52,1.92307692307692
5,"het benzinestation",1,52,1.92307692307692
6,"het zwembad",52,52,100
7,"de thee",48,50,92.3076923076923
7,"haar dochter",1,50,1.92307692307692
7,"ons allen",1,50,1.92307692307692
8,"de oven",50,52,96.1538461538462
8,"de aardappels",1,52,1.92307692307692
8,"de pan",1,52,1.92307692307692
9,"de cadeautjes",25,52,48.0769230769231
9,"de cadeaus",13,52,25.4901960784314
9,"cadeautjes",6,52,11.7647058823529
9,"de kadootjes",3,52,5.76923076923077
9,"cadeaus",2,52,3.84615384615385
9,"de dennenaalden",1,52,1.92307692307692
9,"de pakjes",1,52,1.92307692307692
9,"veel cadeautjes",1,52,1.92307692307692
10,"het team",31,52,59.6153846153846
10,"een team",5,52,9.80392156862745
10,"zijn team",4,52,7.69230769230769
10,"de dames",2,52,3.84615384615385
10,"de jeugd",2,52,3.84615384615385
10,"gi",2,52,3.84615384615385
10,"het eerste",2,52,3.84615384615385
10,"de kids",1,52,1.92307692307692
10,"de ploeg",1,52,1.92307692307692
10,"de recreanten",1,52,1.92307692307692
10,"het damesteam",1,52,1.92307692307692
11,"de post",43,52,82.6923076923077
11,"een postzegel",5,52,9.80392156862745
11,"een envelop",3,52,5.76923076923077
11,"de postzegels",1,52,1.92307692307692
12,"de auto",41,52,78.8461538461538
12,"de bus",5,52,9.80392156862745
12,"de paraplu",2,52,3.84615384615385
12,"de tram",1,52,1.92307692307692
12,"de trein",1,52,1.92307692307692
12,"een paraplu",1,52,1.92307692307692
12,"het ov",1,52,1.92307692307692
13,"de dokter",39,52,75
13,"de huisarts",11,52,21.5686274509804
13,"de doktor",1,52,1.92307692307692
13,"naar bed",1,52,1.92307692307692
15,"het gangpad",25,52,48.0769230769231
15,"het schap",9,52,17.6470588235294
15,"het pad",7,52,13.7254901960784
15,"de gang",5,52,9.80392156862745
15,"de rij",5,52,9.80392156862745
15,"de schappen",1,52,1.92307692307692
16,"de krant",47,52,90.3846153846154
16,"een boek",4,52,7.69230769230769
16,"de bijbel",1,52,1.92307692307692
17,"de stoel",52,52,100
18,"de stad",27,52,54
18,"het winkelcentrum",13,52,25.4901960784314
18,"de winkel",5,52,9.80392156862745
18,"het centrum",3,52,5.76923076923077
18,"een winkelcentrum",2,52,3.84615384615385
18,"de winkelstraat",1,52,1.92307692307692
18,"het warenhuis",1,52,1.92307692307692
19,"het raam",33,52,63.4615384615385
19,"de ramen",10,52,19.6078431372549
19,"de deur",8,52,15.6862745098039
19,"de deuren",1,52,1.92307692307692
20,"de afwas",49,52,94.2307692307692
20,"de vaat",3,52,5.76923076923077
21,"de weg",39,52,75
21,"het verkeer",8,52,15.6862745098039
21,"de baan",1,52,1.92307692307692
21,"de omgeving",1,52,1.92307692307692
21,"de snelheid",1,52,1.92307692307692
21,"de verkeersborden",1,52,1.92307692307692
21,"het wegdek",1,52,1.92307692307692
22,"het bord",49,52,94.2307692307692
22,"het schoolbord",3,52,5.76923076923077
23,"het antwoord",40,52,76.9230769230769
23,"een antwoord",5,52,9.80392156862745
23,"de antwoorden",3,52,5.76923076923077
23,"de reactie",2,52,3.84615384615385
23,"een reactie",2,52,3.84615384615385
24,"het strand",37,51,71.1538461538462
24,"het park",7,51,13.7254901960784
24,"de plas",2,51,3.84615384615385
24,"een meer",1,51,1.92307692307692
24,"een strand",1,51,1.92307692307692
24,"het grasveld",1,51,1.92307692307692
24,"het meer",1,51,1.92307692307692
24,"het strandje",1,51,1.92307692307692
25,"het bos",45,52,86.5384615384615
25,"het park",5,52,9.80392156862745
25,"de tuin",2,52,3.84615384615385
26,"het kampvuur",33,52,63.4615384615385
26,"een hut",5,52,9.80392156862745
26,"de hut",3,52,5.76923076923077
26,"het vuur",3,52,5.76923076923077
26,"een kampvuur",2,52,3.84615384615385
26,"een vuur",2,52,3.84615384615385
26,"een vuurtje",2,52,3.84615384615385
26,"de kachel",1,52,1.92307692307692
26,"een boomhut",1,52,1.92307692307692
27,"het schoolplein",21,52,41.1764705882353
27,"het plein",18,52,35.2941176470588
27,"het speelplein",7,52,13.7254901960784
27,"de speelplaats",2,52,3.84615384615385
27,"het klimrek",2,52,3.84615384615385
27,"de glijbaan",1,52,1.92307692307692
27,"gi",1,52,1.92307692307692
28,"het ontbijt",48,51,92.3076923076923
28,"de brunch",3,51,5.76923076923077
29,"de kast",28,51,56
29,"de boekenkast",22,51,43.1372549019608
29,"het rek",1,51,1.92307692307692
30,"de sneeuw",52,52,100
31,"de brievenbus",36,51,72
31,"de gang",6,51,11.7647058823529
31,"de bus",3,51,5.76923076923077
31,"bij ons",1,51,1.92307692307692
31,"de mat",1,51,1.92307692307692
31,"de postbus",1,51,1.92307692307692
31,"een stapel",1,51,1.92307692307692
31,"het postvak",1,51,1.92307692307692
31,"het postvakje",1,51,1.92307692307692
32,"het licht",47,52,90.3846153846154
32,"de lamp",5,52,9.80392156862745
33,"het journaal",27,52,54
33,"het nieuws",25,52,48.0769230769231
34,"de wekker",51,52,98.0769230769231
34,"gi",1,52,1.92307692307692
35,"het internet",25,47,48.0769230769231
35,"de website",11,47,21.5686274509804
35,"de computer",4,47,7.69230769230769
35,"de site",4,47,7.69230769230769
35,"gi",2,47,3.84615384615385
35,"een computer",1,47,1.92307692307692
36,"de supermarkt",38,52,73.0769230769231
36,"de winkel",11,52,21.5686274509804
36,"de jumbo",1,52,1.92307692307692
36,"de tijd",1,52,1.92307692307692
36,"een supermarkt",1,52,1.92307692307692
37,"het lichaam",21,48,41.1764705882353
37,"het lijk",14,48,27.4509803921569
37,"het slachtoffer",13,48,25.4901960784314
38,"het publiek",45,48,86.5384615384615
38,"de toeschouwers",2,48,3.84615384615385
38,"de mensen",1,48,1.92307692307692
39,"de bioscoop",43,49,82.6923076923077
39,"de cinema",3,49,5.76923076923077
39,"de bios",2,49,3.84615384615385
39,"de bioscopen",1,49,1.92307692307692
40,"de tuin",48,49,92.3076923076923
40,"de achtertuin",1,49,1.92307692307692
41,"de badmeester",34,49,68
41,"de badmeesters",9,49,17.6470588235294
41,"de redders",3,49,5.76923076923077
41,"de leiding",1,49,1.92307692307692
41,"een badmeester",1,49,1.92307692307692
41,"het personeel",1,49,1.92307692307692
42,"de politie",49,49,94.2307692307692
43,"de taart",47,49,90.3846153846154
43,"de appelmoes",1,49,1.92307692307692
43,"gi",1,49,1.92307692307692
44,"de kluis",45,49,86.5384615384615
44,"een kluis",2,49,3.84615384615385
44,"de la",1,49,1.92307692307692
44,"de safe",1,49,1.92307692307692
45,"het stopcontact",44,48,84.6153846153846
45,"de lader",1,48,1.92307692307692
45,"de oplader",1,48,1.92307692307692
45,"de stekker",1,48,1.92307692307692
45,"de telefoon",1,48,1.92307692307692
46,"de gordijnen",40,49,76.9230769230769
46,"het gordijn",4,49,7.69230769230769
46,"het raam",3,49,5.76923076923077
46,"de luiken",1,49,1.92307692307692
46,"de rolluiken",1,49,1.92307692307692
47,"de bibliotheek",43,48,82.6923076923077
47,"de boekhandel",3,48,5.76923076923077
47,"de bieb",2,48,3.84615384615385
48,"de trommel",22,47,43.1372549019608
48,"de koektrommel",12,47,23.5294117647059
48,"de kast",8,47,15.6862745098039
48,"de doos",3,47,5.76923076923077
48,"de pot",1,47,1.92307692307692
48,"het blik",1,47,1.92307692307692
49,"de muizen",36,48,72
49,"de muis",10,48,19.6078431372549
49,"een muis",1,48,1.92307692307692
49,"het ongedierte",1,48,1.92307692307692
50,"het sprookje",36,48,72
50,"het verhaal",12,48,23.5294117647059
51,"het vliegtuig",41,47,78.8461538461538
51,"de trein",3,47,5.76923076923077
51,"een jet",1,47,1.92307692307692
51,"een vliegtuig",1,47,1.92307692307692
51,"het vleigtuig",1,47,1.92307692307692
52,"het schilderij",29,49,58
52,"de bank",7,49,13.7254901960784
52,"de kast",5,49,9.80392156862745
52,"de boekenkast",2,49,3.84615384615385
52,"de deur",2,49,3.84615384615385
52,"de sofa",1,49,1.92307692307692
52,"de tv",1,49,1.92307692307692
52,"de zitbank",1,49,1.92307692307692
52,"een schilderij",1,49,1.92307692307692
53,"het bruidspaar",29,47,58
53,"een bruidspaar",5,47,9.80392156862745
53,"het koppel",4,47,7.69230769230769
53,"het stel",4,47,7.69230769230769
53,"het echtpaar",2,47,3.84615384615385
53,"de pasgetrouwden",1,47,1.92307692307692
53,"een huwelijkspaar",1,47,1.92307692307692
53,"het paar",1,47,1.92307692307692
54,"de apotheek",43,49,82.6923076923077
54,"de apotheker",5,49,9.80392156862745
54,"de dokter",1,49,1.92307692307692
55,"het bereik",21,48,41.1764705882353
55,"de verbinding",17,48,33.3333333333333
55,"de ontvangst",9,48,17.6470588235294
55,"het ontvangst",1,48,1.92307692307692
56,"de pasta",18,48,35.2941176470588
56,"de pan",12,48,23.5294117647059
56,"de saus",11,48,21.5686274509804
56,"de spaghetti",2,48,3.84615384615385
56,"het eten",2,48,3.84615384615385
56,"de salade",1,48,1.92307692307692
56,"de wok",1,48,1.92307692307692
56,"het gerecht",1,48,1.92307692307692
57,"de kapstok",48,49,92.3076923076923
57,"het haakje",1,49,1.92307692307692
58,"de muur",47,49,90.3846153846154
58,"gi",1,49,1.92307692307692
58,"het plafond",1,49,1.92307692307692
59,"het internet",46,47,88.4615384615385
59,"het interne",1,47,1.92307692307692
60,"de ober",20,49,39.2156862745098
60,"de bediening",11,49,21.5686274509804
60,"de serveerster",9,49,17.6470588235294
60,"het personeel",5,49,9.80392156862745
60,"de bediende",1,49,1.92307692307692
60,"de kelner",1,49,1.92307692307692
60,"de serveerder",1,49,1.92307692307692
60,"het eten",1,49,1.92307692307692
61,"het glas",19,47,37.2549019607843
61,"een glas",14,47,27.4509803921569
61,"de glazen",8,47,15.6862745098039
61,"een wijnglas",3,47,5.76923076923077
61,"met name",1,47,1.92307692307692
61,"onze glazen",1,47,1.92307692307692
61,"voor ons",1,47,1.92307692307692
62,"het woordenboek",45,49,86.5384615384615
62,"een woordenboek",3,49,5.76923076923077
62,"de encyclopedie",1,49,1.92307692307692
63,"het verkeer",45,48,86.5384615384615
63,"de straten",1,48,1.92307692307692
63,"een land",1,48,1.92307692307692
63,"ieder geval",1,48,1.92307692307692
64,"de vergadering",40,48,76.9230769230769
64,"de bijeenkomst",2,48,3.84615384615385
64,"de meeting",2,48,3.84615384615385
64,"het beraad",1,48,1.92307692307692
64,"het debat",1,48,1.92307692307692
64,"het overleg",1,48,1.92307692307692
64,"het verhoor",1,48,1.92307692307692
65,"het spel",22,48,43.1372549019608
65,"het leven",10,48,19.6078431372549
65,"gi",3,48,5.76923076923077
65,"het algemeen",2,48,3.84615384615385
65,"zijn werk",2,48,3.84615384615385
65,"de centen",1,48,1.92307692307692
65,"de rest",1,48,1.92307692307692
65,"de sport",1,48,1.92307692307692
65,"de vriendschap",1,48,1.92307692307692
65,"de wetenschap",1,48,1.92307692307692
65,"de zaken",1,48,1.92307692307692
65,"het echt",1,48,1.92307692307692
65,"ieder geval",1,48,1.92307692307692
65,"zijn baan",1,48,1.92307692307692
