"sentID","compLower","popularity","nComp","percent","above70"
27,"het speelplein",7,52,13.4615384615385,0
27,"de speelplaats",2,52,3.84615384615385,0
27,"het klimrek",2,52,3.84615384615385,0
27,"de glijbaan",1,52,1.92307692307692,0
27,"gi",1,52,1.92307692307692,0
28,"het ontbijt",48,51,94.1176470588235,1
28,"de brunch",3,51,5.88235294117647,0
29,"de kast",45,51,88.2352941176471,1
29,"de boekenkast",5,51,9.80392156862745,0
29,"het rek",1,51,1.96078431372549,0
30,"de sneeuw",52,52,100,1
31,"de brievenbus",36,51,70.5882352941177,1
31,"de gang",6,51,11.7647058823529,0
31,"de bus",3,51,5.88235294117647,0
31,"bij ons",1,51,1.96078431372549,0
31,"de mat",1,51,1.96078431372549,0
31,"de postbus",1,51,1.96078431372549,0
31,"een stapel",1,51,1.96078431372549,0
31,"het postvak",1,51,1.96078431372549,0
31,"het postvakje",1,51,1.96078431372549,0
32,"het licht",47,52,90.3846153846154,1
32,"de lamp",5,52,9.61538461538462,0
33,"het journaal",45,52,86.5384615384615,1
33,"het nieuws",7,52,13.4615384615385,0
34,"de wekker",51,52,98.0769230769231,1
34,"gi",1,52,1.92307692307692,0
35,"het internet",25,47,53.1914893617021,0
35,"de website",11,47,23.4042553191489,0
35,"de computer",4,47,8.51063829787234,0
35,"de site",4,47,8.51063829787234,0
35,"gi",2,47,4.25531914893617,0
35,"een computer",1,47,2.12765957446809,0
36,"de supermarkt",38,52,73.0769230769231,1
36,"de winkel",11,52,21.1538461538462,0
36,"de jumbo",1,52,1.92307692307692,0
36,"de tijd",1,52,1.92307692307692,0
36,"een supermarkt",1,52,1.92307692307692,0
37,"het lichaam",21,48,43.75,0
37,"het lijk",14,48,29.1666666666667,0
37,"het slachtoffer",13,48,27.0833333333333,0
38,"het publiek",45,48,93.75,1
38,"de toeschouwers",2,48,4.16666666666667,0
38,"de mensen",1,48,2.08333333333333,0
39,"de bioscoop",43,49,87.7551020408163,1
39,"de cinema",3,49,6.12244897959184,0
39,"de bios",2,49,4.08163265306122,0
39,"de bioscopen",1,49,2.04081632653061,0
40,"de tuin",48,49,97.9591836734694,1
40,"de achtertuin",1,49,2.04081632653061,0
41,"de badmeester",41,49,83.6734693877551,1
41,"de redders",3,49,6.12244897959184,0
41,"de badmeesters",2,49,4.08163265306122,0
41,"de leiding",1,49,2.04081632653061,0
41,"een badmeester",1,49,2.04081632653061,0
41,"het personeel",1,49,2.04081632653061,0
42,"de politie",49,49,100,1
43,"de taart",47,49,95.9183673469388,1
43,"de appelmoes",1,49,2.04081632653061,0
43,"gi",1,49,2.04081632653061,0
44,"de kluis",45,49,91.8367346938776,1
44,"een kluis",2,49,4.08163265306122,0
44,"de la",1,49,2.04081632653061,0
44,"de safe",1,49,2.04081632653061,0
45,"het stopcontact",44,48,91.6666666666667,1
45,"de lader",1,48,2.08333333333333,0
45,"de oplader",1,48,2.08333333333333,0
45,"de stekker",1,48,2.08333333333333,0
45,"de telefoon",1,48,2.08333333333333,0
46,"de gordijnen",40,49,81.6326530612245,1
46,"het gordijn",4,49,8.16326530612245,0
46,"het raam",3,49,6.12244897959184,0
46,"de luiken",1,49,2.04081632653061,0
46,"de rolluiken",1,49,2.04081632653061,0
47,"de bibliotheek",43,48,89.5833333333333,1
47,"de boekhandel",3,48,6.25,0
47,"de bieb",2,48,4.16666666666667,0
48,"de trommel",31,47,65.9574468085106,0
48,"de kast",8,47,17.0212765957447,0
48,"de doos",3,47,6.38297872340426,0
48,"de koektrommel",3,47,6.38297872340426,0
48,"de pot",1,47,2.12765957446809,0
48,"het blik",1,47,2.12765957446809,0
49,"de muizen",36,48,75,1
49,"de muis",10,48,20.8333333333333,0
49,"een muis",1,48,2.08333333333333,0
49,"het ongedierte",1,48,2.08333333333333,0
50,"het sprookje",36,48,75,1
50,"het verhaal",12,48,25,0
51,"het vliegtuig",41,47,87.2340425531915,1
51,"de trein",3,47,6.38297872340426,0
51,"een jet",1,47,2.12765957446809,0
51,"een vliegtuig",1,47,2.12765957446809,0
51,"het vleigtuig",1,47,2.12765957446809,0
52,"het schilderij",29,49,59.1836734693878,0
52,"de bank",7,49,14.2857142857143,0
52,"de kast",5,49,10.2040816326531,0
52,"de boekenkast",2,49,4.08163265306122,0
52,"de deur",2,49,4.08163265306122,0
52,"de sofa",1,49,2.04081632653061,0
52,"de tv",1,49,2.04081632653061,0
52,"de zitbank",1,49,2.04081632653061,0
52,"een schilderij",1,49,2.04081632653061,0
53,"het bruidspaar",34,47,72.3404255319149,1
53,"het koppel",4,47,8.51063829787234,0
53,"het stel",4,47,8.51063829787234,0
53,"het echtpaar",2,47,4.25531914893617,0
53,"de pasgetrouwden",1,47,2.12765957446809,0
53,"een huwelijkspaar",1,47,2.12765957446809,0
53,"het paar",1,47,2.12765957446809,0
54,"de apotheek",43,49,87.7551020408163,1
54,"de apotheker",5,49,10.2040816326531,0
