"sentID","SentenceContext","sentenceClosure","compLower","popularity","nComp","percent","above70","comp.det","comp.noun","Lg10WF","natNess","RT","Diff"
35,"Ik weet niet uit mijn hoofd wat de gegevens waren, maar je kunt het document opzoeken op","als je dat wilt.","het internet",25,47,53.1914893617021,0,"het","internet",2.8768,3.46808510638298,16.0626595744681,4.74468085106383
36,"De melk was op, dus dat heb ik nog even snel gehaald in","vlak voor sluitingstijd.","de supermarkt",38,52,73.0769230769231,1,"de","supermarkt",2.5809,4.40384615384615,5.88930769230769,5.76923076923077
37,"Na de moord was de onderzoeker al snel op de plaats delict om de verwondingen op","te bestuderen.","het lichaam",21,48,43.75,0,"het","lichaam",3.8098,5.29166666666667,7.4303125,5.3125
38,"Na afloop van de voorstelling maakte de toneelgroep een buiging onder luid applaus van","in de zaal.","het publiek",45,48,93.75,1,"het","publiek",3.2629,5.60416666666667,4.56102083333333,5.47916666666667
39,"De nieuwe film van die acteur draait nu in","in de stad.","de bioscoop",43,49,87.7551020408163,1,"de","bioscoop",2.6702,5.73469387755102,3.02432653061225,5.83673469387755
40,"In de zomer zetten wij altijd een groot opblaaszwembad in","om af te koelen.","de tuin",48,49,97.9591836734694,1,"de","tuin",3.2052,5.87755102040816,3.88410204081633,5.91836734693878
41,"In het zwembad wordt er altijd goed opgelet door","om zo ongelukken te voorkomen.","de badmeester",41,49,83.6734693877551,1,"de","badmeester",1.5051,5.53061224489796,63.0226530612245,5.51020408163265
42,"Toen Martijn ontdekte dat zijn portemonnee was gestolen, belde hij snel","om aangifte te doen.","de politie",49,49,100,1,"de","politie",4.1801,5.77551020408163,3.37983673469388,5.85714285714286
43,"De laatste gewonnen wedstrijd was voor het voetbalteam de kers op","na een mooi seizoen.","de taart",47,49,95.9183673469388,1,"de","taart",3.1374,5.77551020408163,14.875387755102,5.71428571428571
44,"De juwelier bergt de sieraden 's avonds veilig op in","achter de kassa.","de kluis",45,49,91.8367346938776,1,"de","kluis",3.1892,5.73469387755102,5.27181632653061,5.6530612244898
45,"Haar batterij was bijna leeg, dus ze stopte de oplader van haar telefoon in","om deze op te laden.","het stopcontact",44,48,91.6666666666667,1,"het","stopcontact",1.7559,5.60416666666667,5.74470833333333,5.79166666666667
46,"Arnold wilde niet dat mensen door het raam naar binnen konden kijken, dus deed hij","dicht.","de gordijnen",40,49,81.6326530612245,1,"de","gordijnen",2.6117,5.75510204081633,4.91232653061225,5.71428571428571
47,"Alle net uitgebrachte boeken zijn vaak al binnen twee weken te leen bij","in de stad.","de bibliotheek",43,48,89.5833333333333,1,"de","bibliotheek",2.9355,5.77083333333333,3.70385416666667,5.79166666666667
48,"Als je trek hebt, kun je een koekje uit","pakken.","de trommel",31,47,65.9574468085106,0,"de","trommel",1.9138,5.61702127659574,9.14268085106383,5.57446808510638
49,"De studenten probeerden met kaas en muizenvallen","te vangen.","de muizen",36,48,75,1,"de","muizen",2.3909,5.58333333333333,4.9868125,5.70833333333333
50,"En ze leefden nog lang en gelukkig' was het einde van","over de prinses en de draak.","het sprookje",36,48,75,1,"het","sprookje",2.4281,5.72916666666667,4.52860416666667,5.77083333333333
51,"Als ik op vakantie naar een ver land ga, reis ik altijd met","vanaf Schiphol.","het vliegtuig",41,47,87.2340425531915,1,"het","vliegtuig",3.5947,5.65957446808511,4.77823404255319,5.59574468085106
52,"Om de kluis te vinden, keek de inbreker als eerste achter","in de woonkamer.","het schilderij",29,49,59.1836734693878,0,"het","schilderij",2.9741,5.48979591836735,6.79963265306122,5.12244897959184
53,"In de oldtimer met blikjes eraan zat","onderweg naar hun huwelijksfeest.","het bruidspaar",34,47,72.3404255319149,1,"het","bruidspaar",1.6232,5.02127659574468,11.3349361702128,5.19148936170213
54,"Adriaan haalde zijn nieuwe medicijnen op bij","met een herhaalrecept.","de apotheek",43,49,87.7551020408163,1,"de","apotheek",2.29,5.71428571428571,14.8989387755102,5.81632653061224
55,"Kelly kon haar vriend niet verstaan door de telefoon, zo slecht was","in de supermarkt.","het bereik",21,48,43.75,0,"het","bereik",2.8476,5.66666666666667,3.87539583333333,5.64583333333333
56,"Om het echt Italiaans te laten smaken, gooi ik pesto in","samen met verschillende groenten.","de pasta",18,48,37.5,0,"de","pasta",2.415,5.22916666666667,7.40077083333333,5.27083333333333
57,"Toen Vincent thuis kwam, hing hij zijn jas aan","in de gang.","de kapstok",48,49,97.9591836734694,1,"de","kapstok",1.5051,5.93877551020408,3.1234693877551,5.83673469387755
58,"De poster van mijn lievelingsband hang ik op een mooie plek in mijn kamer aan",", met dubbelzijdig plakband.","de muur",47,49,95.9183673469388,1,"de","muur",3.4663,5.18367346938776,5.79110204081633,5.6530612244898
59,"Door de opkomst van de computer, kun je tegenwoordig binnen een paar seconden bijna alle informatie vinden op","zonder al teveel moeite.","het internet",46,47,97.8723404255319,1,"het","internet",2.8768,5.36170212765957,6.91327659574468,5.74468085106383
60,"Ze waren goed bediend, dus het stel liet een flinke fooi achter voor","op de tafel bij de rekening.","de ober",20,49,40.8163265306122,0,"de","ober",2.6425,5.16326530612245,3.68877551020408,5.40816326530612
61,"In het restaurant schonk de ober de wijn in","om te proeven.","het glas",19,47,40.4255319148936,0,"het","glas",3.3979,5.06382978723404,5.3563829787234,5.17021276595745
62,"Om de betekenis van dat woord te achterhalen, zocht ze het op in","uit haar moeders boekenkast.","het woordenboek",45,49,91.8367346938776,1,"het","woordenboek",2.2095,5.75510204081633,29.6038775510204,5.69387755102041
63,"Verkeersborden zijn heel belangrijk in","voor ieders veiligheid.","het verkeer",45,48,93.75,1,"het","verkeer",2.8254,4.77083333333333,52.6529583333333,5.16666666666667
64,"De secretaresse van de directeur schreef de notulen tijdens","snel op.","de vergadering",40,48,83.3333333333333,1,"de","vergadering",3.1455,5.64583333333333,4.641625,5.58333333333333
65,"Ronald heeft niet veel geluk in de liefde, maar in","is hij wel gelukkig.","het spel",22,48,45.8333333333333,0,"het","spel",3.6191,4.5,26.9603958333333,4.27083333333333
66,"Veel mensen gaan wekelijks gokken in","maar ze verliezen bijna altijd.","het casino",39,49,79.5918367346939,1,"het","casino",2.8488,5.59183673469388,3.36891836734694,5.57142857142857
67,"Tijdens de korte pauze was Aafke nog op het schoolplein toen","al ging.","de bel",45,49,91.8367346938776,1,"de","bel",4.1345,5.6530612244898,4.17918367346939,5.69387755102041
