subj_id,NatNess,measure,sentID
R_eOEX0Ye1lmhGlyl,5,Natural,5
R_cCLhtJmTS5XidYl,5,Natural,5
R_vZ75WKEQFz64rIt,5,Natural,5
R_1Nzi2lWnM0CO3kn,5,Natural,5
R_2tu71tqKKoKbfJ0,4,Natural,5
R_2PdQi8meHWRd7Fb,3,Natural,5
R_3PaHNs19NCzMVbu,5,Natural,5
R_CjK7Ok90OSXQ3XH,5,Natural,5
R_1lgEwIKXFHGT01V,5,Natural,5
R_2qq1JLwmdrdJM9d,5,Natural,5
R_ZrTEV9TpypUZEC5,5,Natural,5
R_3Gq55dSXHC6ANc8,5,Natural,5
R_3D8b4ozl4q217Ie,5,Natural,5
R_qV03fIB34drHELn,5,Natural,5
R_1mRh44rpwMf0PbH,5,Natural,5
R_3gNkgaxQ9C21dQW,5,Natural,5
R_21umvRGJCCZXoit,5,Natural,5
R_BKctGx9a1Hi7w4h,4,Natural,6
R_u2ffULg0uVmoetj,5,Natural,6
R_2vf9l3GOwanVBOH,5,Natural,6
R_OqjAwL4brYESqul,4,Natural,6
R_1LG8FwYsk4Xgq61,5,Natural,6
R_2wQZuV97sKRkDfp,5,Natural,6
R_2dsf9d9zlzEbaRw,4,Natural,6
R_3j0ZzVXSe6NB0v0,5,Natural,6
R_2SqwKT4bUhZVaYX,4,Natural,6
R_6yuZ6GaDGqciNE1,3,Natural,6
R_22DGKB9Dz59SJIt,4,Natural,6
R_5iDE07CUBSNZdqF,4,Natural,6
R_2w61flKU0TAtmrX,4,Natural,6
R_2Y4gtCNHITcznSw,5,Natural,6
R_2qDHMLvHLCvMWMS,3,Natural,6
R_bg7cQUV93CWU245,5,Natural,6
R_2OTJk9jZohSfhSm,4,Natural,6
R_pGZjTA8wFerMwcV,5,Natural,6
R_ypTZBjEyvsMpFG9,4,Natural,6
R_2YkUceTXXRwe7af,4,Natural,6
R_3D2u0Wq74kM9j2C,5,Natural,6
R_2Pv6m5XVNiv6pPQ,5,Natural,6
R_T1l2TIrq1do7Orn,5,Natural,6
R_9KphKBeCPmqzBCl,4,Natural,6
R_3qKjZplc0t8Y2IU,5,Natural,6
R_4GA7uQFTqbGKnlf,5,Natural,6
R_1hEVfCsYXJCzsVp,5,Natural,6
R_cHiCbzLrQrYeizP,5,Natural,6
R_3fQa4YiudlrrSLd,5,Natural,6
R_z0gtYvawsJg834J,5,Natural,6
R_2SvKoXHDxtivA4o,3,Natural,6
R_CeG821dsnmsmiZP,5,Natural,6
R_3MG93Py9LV1lYqI,3,Natural,6
R_UrtVng9RxUYqodr,4,Natural,6
R_yjxZCpumE2JuLwR,5,Natural,6
R_eOEX0Ye1lmhGlyl,5,Natural,6
R_cCLhtJmTS5XidYl,5,Natural,6
R_vZ75WKEQFz64rIt,4,Natural,6
R_1Nzi2lWnM0CO3kn,2,Natural,6
R_2tu71tqKKoKbfJ0,5,Natural,6
R_2PdQi8meHWRd7Fb,3,Natural,6
R_3PaHNs19NCzMVbu,5,Natural,6
R_CjK7Ok90OSXQ3XH,5,Natural,6
R_1lgEwIKXFHGT01V,3,Natural,6
R_2qq1JLwmdrdJM9d,5,Natural,6
R_ZrTEV9TpypUZEC5,5,Natural,6
R_3Gq55dSXHC6ANc8,3,Natural,6
R_3D8b4ozl4q217Ie,5,Natural,6
R_qV03fIB34drHELn,1,Natural,6
R_1mRh44rpwMf0PbH,5,Natural,6
R_3gNkgaxQ9C21dQW,5,Natural,6
R_21umvRGJCCZXoit,4,Natural,6
R_BKctGx9a1Hi7w4h,4,Natural,7
R_u2ffULg0uVmoetj,3,Natural,7
R_2vf9l3GOwanVBOH,5,Natural,7
R_OqjAwL4brYESqul,5,Natural,7
R_1LG8FwYsk4Xgq61,5,Natural,7
R_2wQZuV97sKRkDfp,4,Natural,7
R_2dsf9d9zlzEbaRw,5,Natural,7
R_3j0ZzVXSe6NB0v0,5,Natural,7
R_2SqwKT4bUhZVaYX,5,Natural,7
R_6yuZ6GaDGqciNE1,5,Natural,7
R_22DGKB9Dz59SJIt,5,Natural,7
R_5iDE07CUBSNZdqF,4,Natural,7
R_2w61flKU0TAtmrX,5,Natural,7
R_2Y4gtCNHITcznSw,5,Natural,7
R_2qDHMLvHLCvMWMS,5,Natural,7
R_bg7cQUV93CWU245,5,Natural,7
R_2OTJk9jZohSfhSm,4,Natural,7
R_pGZjTA8wFerMwcV,4,Natural,7
R_ypTZBjEyvsMpFG9,5,Natural,7
R_2YkUceTXXRwe7af,3,Natural,7
R_3D2u0Wq74kM9j2C,5,Natural,7
R_2Pv6m5XVNiv6pPQ,5,Natural,7
R_T1l2TIrq1do7Orn,4,Natural,7
R_9KphKBeCPmqzBCl,5,Natural,7
R_3qKjZplc0t8Y2IU,5,Natural,7
R_4GA7uQFTqbGKnlf,5,Natural,7
R_1hEVfCsYXJCzsVp,4,Natural,7
R_cHiCbzLrQrYeizP,4,Natural,7
R_3fQa4YiudlrrSLd,5,Natural,7
R_z0gtYvawsJg834J,5,Natural,7
R_2SvKoXHDxtivA4o,4,Natural,7
R_CeG821dsnmsmiZP,5,Natural,7
R_3MG93Py9LV1lYqI,5,Natural,7
R_UrtVng9RxUYqodr,5,Natural,7
R_yjxZCpumE2JuLwR,5,Natural,7
R_eOEX0Ye1lmhGlyl,5,Natural,7
R_cCLhtJmTS5XidYl,5,Natural,7
R_vZ75WKEQFz64rIt,4,Natural,7
R_1Nzi2lWnM0CO3kn,4,Natural,7
R_2tu71tqKKoKbfJ0,5,Natural,7
R_2PdQi8meHWRd7Fb,4,Natural,7
R_3PaHNs19NCzMVbu,4,Natural,7
R_CjK7Ok90OSXQ3XH,5,Natural,7
R_1lgEwIKXFHGT01V,4,Natural,7
R_2qq1JLwmdrdJM9d,2,Natural,7
R_ZrTEV9TpypUZEC5,5,Natural,7
R_3Gq55dSXHC6ANc8,2,Natural,7
R_3D8b4ozl4q217Ie,4,Natural,7
R_qV03fIB34drHELn,3,Natural,7
R_1mRh44rpwMf0PbH,5,Natural,7
R_3gNkgaxQ9C21dQW,5,Natural,7
R_21umvRGJCCZXoit,3,Natural,7
R_BKctGx9a1Hi7w4h,4,Natural,8
R_u2ffULg0uVmoetj,3,Natural,8
R_2vf9l3GOwanVBOH,5,Natural,8
R_OqjAwL4brYESqul,3,Natural,8
R_1LG8FwYsk4Xgq61,5,Natural,8
R_2wQZuV97sKRkDfp,5,Natural,8
R_2dsf9d9zlzEbaRw,5,Natural,8
R_3j0ZzVXSe6NB0v0,5,Natural,8
R_2SqwKT4bUhZVaYX,3,Natural,8
R_6yuZ6GaDGqciNE1,5,Natural,8
R_22DGKB9Dz59SJIt,5,Natural,8
R_5iDE07CUBSNZdqF,2,Natural,8
R_2w61flKU0TAtmrX,5,Natural,8
R_2Y4gtCNHITcznSw,4,Natural,8
R_2qDHMLvHLCvMWMS,5,Natural,8
R_bg7cQUV93CWU245,5,Natural,8
R_2OTJk9jZohSfhSm,4,Natural,8
R_pGZjTA8wFerMwcV,4,Natural,8
R_ypTZBjEyvsMpFG9,5,Natural,8
R_2YkUceTXXRwe7af,4,Natural,8
R_3D2u0Wq74kM9j2C,5,Natural,8
R_2Pv6m5XVNiv6pPQ,5,Natural,8
R_T1l2TIrq1do7Orn,5,Natural,8
R_9KphKBeCPmqzBCl,5,Natural,8
R_3qKjZplc0t8Y2IU,5,Natural,8
R_4GA7uQFTqbGKnlf,5,Natural,8
R_1hEVfCsYXJCzsVp,3,Natural,8
R_cHiCbzLrQrYeizP,4,Natural,8
R_3fQa4YiudlrrSLd,2,Natural,8
R_z0gtYvawsJg834J,5,Natural,8
R_2SvKoXHDxtivA4o,5,Natural,8
R_CeG821dsnmsmiZP,5,Natural,8
R_3MG93Py9LV1lYqI,5,Natural,8
R_UrtVng9RxUYqodr,5,Natural,8
R_yjxZCpumE2JuLwR,5,Natural,8
R_eOEX0Ye1lmhGlyl,5,Natural,8
R_cCLhtJmTS5XidYl,5,Natural,8
R_vZ75WKEQFz64rIt,4,Natural,8
R_1Nzi2lWnM0CO3kn,5,Natural,8
R_2tu71tqKKoKbfJ0,4,Natural,8
R_2PdQi8meHWRd7Fb,5,Natural,8
R_3PaHNs19NCzMVbu,5,Natural,8
R_CjK7Ok90OSXQ3XH,5,Natural,8
R_1lgEwIKXFHGT01V,5,Natural,8
R_2qq1JLwmdrdJM9d,5,Natural,8
R_ZrTEV9TpypUZEC5,5,Natural,8
R_3Gq55dSXHC6ANc8,4,Natural,8
R_3D8b4ozl4q217Ie,4,Natural,8
R_qV03fIB34drHELn,5,Natural,8
R_1mRh44rpwMf0PbH,5,Natural,8
R_3gNkgaxQ9C21dQW,5,Natural,8
R_21umvRGJCCZXoit,4,Natural,8
R_BKctGx9a1Hi7w4h,5,Natural,9
R_u2ffULg0uVmoetj,5,Natural,9
R_2vf9l3GOwanVBOH,5,Natural,9
R_OqjAwL4brYESqul,5,Natural,9
R_1LG8FwYsk4Xgq61,5,Natural,9
R_2wQZuV97sKRkDfp,2,Natural,9
R_2dsf9d9zlzEbaRw,5,Natural,9
R_3j0ZzVXSe6NB0v0,5,Natural,9
R_2SqwKT4bUhZVaYX,3,Natural,9
R_6yuZ6GaDGqciNE1,4,Natural,9
R_22DGKB9Dz59SJIt,5,Natural,9
R_5iDE07CUBSNZdqF,5,Natural,9
R_2w61flKU0TAtmrX,3,Natural,9
R_2Y4gtCNHITcznSw,4,Natural,9
R_2qDHMLvHLCvMWMS,5,Natural,9
R_bg7cQUV93CWU245,4,Natural,9
R_2OTJk9jZohSfhSm,4,Natural,9
R_pGZjTA8wFerMwcV,4,Natural,9
R_ypTZBjEyvsMpFG9,5,Natural,9
R_2YkUceTXXRwe7af,3,Natural,9
R_3D2u0Wq74kM9j2C,5,Natural,9
R_2Pv6m5XVNiv6pPQ,5,Natural,9
R_T1l2TIrq1do7Orn,4,Natural,9
R_9KphKBeCPmqzBCl,3,Natural,9
R_3qKjZplc0t8Y2IU,4,Natural,9
R_4GA7uQFTqbGKnlf,4,Natural,9
R_1hEVfCsYXJCzsVp,5,Natural,9
R_cHiCbzLrQrYeizP,3,Natural,9
R_3fQa4YiudlrrSLd,1,Natural,9
R_z0gtYvawsJg834J,5,Natural,9
R_2SvKoXHDxtivA4o,4,Natural,9
R_CeG821dsnmsmiZP,4,Natural,9
R_3MG93Py9LV1lYqI,4,Natural,9
R_UrtVng9RxUYqodr,5,Natural,9
R_yjxZCpumE2JuLwR,5,Natural,9
R_eOEX0Ye1lmhGlyl,4,Natural,9
R_cCLhtJmTS5XidYl,5,Natural,9
R_vZ75WKEQFz64rIt,4,Natural,9
R_1Nzi2lWnM0CO3kn,5,Natural,9
R_2tu71tqKKoKbfJ0,4,Natural,9
R_2PdQi8meHWRd7Fb,3,Natural,9
R_3PaHNs19NCzMVbu,5,Natural,9
R_CjK7Ok90OSXQ3XH,5,Natural,9
R_1lgEwIKXFHGT01V,5,Natural,9
R_2qq1JLwmdrdJM9d,5,Natural,9
R_ZrTEV9TpypUZEC5,5,Natural,9
R_3Gq55dSXHC6ANc8,3,Natural,9
R_3D8b4ozl4q217Ie,4,Natural,9
R_qV03fIB34drHELn,5,Natural,9
R_1mRh44rpwMf0PbH,5,Natural,9
R_3gNkgaxQ9C21dQW,5,Natural,9
R_21umvRGJCCZXoit,4,Natural,9
R_BKctGx9a1Hi7w4h,5,Natural,10
R_u2ffULg0uVmoetj,4,Natural,10
R_2vf9l3GOwanVBOH,3,Natural,10
R_OqjAwL4brYESqul,5,Natural,10
R_1LG8FwYsk4Xgq61,5,Natural,10
R_2wQZuV97sKRkDfp,5,Natural,10
R_2dsf9d9zlzEbaRw,4,Natural,10
R_3j0ZzVXSe6NB0v0,5,Natural,10
R_2SqwKT4bUhZVaYX,4,Natural,10
R_6yuZ6GaDGqciNE1,4,Natural,10
R_22DGKB9Dz59SJIt,1,Natural,10
R_5iDE07CUBSNZdqF,4,Natural,10
R_2w61flKU0TAtmrX,2,Natural,10
R_2Y4gtCNHITcznSw,4,Natural,10
R_2qDHMLvHLCvMWMS,4,Natural,10
R_bg7cQUV93CWU245,4,Natural,10
R_2OTJk9jZohSfhSm,2,Natural,10
R_pGZjTA8wFerMwcV,3,Natural,10
R_ypTZBjEyvsMpFG9,4,Natural,10
R_2YkUceTXXRwe7af,3,Natural,10
R_3D2u0Wq74kM9j2C,5,Natural,10
R_2Pv6m5XVNiv6pPQ,5,Natural,10
R_T1l2TIrq1do7Orn,3,Natural,10
R_9KphKBeCPmqzBCl,4,Natural,10
R_3qKjZplc0t8Y2IU,3,Natural,10
R_4GA7uQFTqbGKnlf,4,Natural,10
R_1hEVfCsYXJCzsVp,2,Natural,10
R_cHiCbzLrQrYeizP,4,Natural,10
R_3fQa4YiudlrrSLd,4,Natural,10
R_z0gtYvawsJg834J,3,Natural,10
R_2SvKoXHDxtivA4o,4,Natural,10
R_CeG821dsnmsmiZP,4,Natural,10
R_3MG93Py9LV1lYqI,4,Natural,10
R_UrtVng9RxUYqodr,2,Natural,10
R_yjxZCpumE2JuLwR,5,Natural,10
R_eOEX0Ye1lmhGlyl,4,Natural,10
R_cCLhtJmTS5XidYl,4,Natural,10
R_vZ75WKEQFz64rIt,3,Natural,10
R_1Nzi2lWnM0CO3kn,4,Natural,10
R_2tu71tqKKoKbfJ0,4,Natural,10
R_2PdQi8meHWRd7Fb,4,Natural,10
R_3PaHNs19NCzMVbu,3,Natural,10
R_CjK7Ok90OSXQ3XH,5,Natural,10
R_1lgEwIKXFHGT01V,2,Natural,10
R_2qq1JLwmdrdJM9d,5,Natural,10
R_ZrTEV9TpypUZEC5,4,Natural,10
R_3Gq55dSXHC6ANc8,4,Natural,10
R_3D8b4ozl4q217Ie,3,Natural,10
R_qV03fIB34drHELn,3,Natural,10
R_1mRh44rpwMf0PbH,5,Natural,10
R_3gNkgaxQ9C21dQW,4,Natural,10
R_21umvRGJCCZXoit,2,Natural,10
R_BKctGx9a1Hi7w4h,4,Natural,11
R_u2ffULg0uVmoetj,3,Natural,11
R_2vf9l3GOwanVBOH,4,Natural,11
R_OqjAwL4brYESqul,3,Natural,11
R_1LG8FwYsk4Xgq61,4,Natural,11
R_2wQZuV97sKRkDfp,3,Natural,11
R_2dsf9d9zlzEbaRw,5,Natural,11
R_3j0ZzVXSe6NB0v0,5,Natural,11
R_2SqwKT4bUhZVaYX,2,Natural,11
R_6yuZ6GaDGqciNE1,2,Natural,11
R_22DGKB9Dz59SJIt,3,Natural,11
R_5iDE07CUBSNZdqF,3,Natural,11
R_2w61flKU0TAtmrX,3,Natural,11
R_2Y4gtCNHITcznSw,4,Natural,11
R_2qDHMLvHLCvMWMS,4,Natural,11
R_bg7cQUV93CWU245,2,Natural,11
R_2OTJk9jZohSfhSm,4,Natural,11
R_pGZjTA8wFerMwcV,2,Natural,11
R_ypTZBjEyvsMpFG9,4,Natural,11
R_2YkUceTXXRwe7af,4,Natural,11
R_3D2u0Wq74kM9j2C,5,Natural,11
R_2Pv6m5XVNiv6pPQ,5,Natural,11
R_T1l2TIrq1do7Orn,4,Natural,11
R_9KphKBeCPmqzBCl,3,Natural,11
R_3qKjZplc0t8Y2IU,5,Natural,11
R_4GA7uQFTqbGKnlf,4,Natural,11
R_1hEVfCsYXJCzsVp,2,Natural,11
R_cHiCbzLrQrYeizP,5,Natural,11
R_3fQa4YiudlrrSLd,5,Natural,11
R_z0gtYvawsJg834J,4,Natural,11
R_2SvKoXHDxtivA4o,4,Natural,11
R_CeG821dsnmsmiZP,4,Natural,11
