subj_id,RT,sentID,measure
R_2SqwKT4bUhZVaYX,5.541,3,Timing_1
R_6yuZ6GaDGqciNE1,10.654,3,Timing_1
R_22DGKB9Dz59SJIt,5.551,3,Timing_1
R_5iDE07CUBSNZdqF,2.863,3,Timing_1
R_2w61flKU0TAtmrX,2.508,3,Timing_1
R_2Y4gtCNHITcznSw,3.854,3,Timing_1
R_2qDHMLvHLCvMWMS,76.417,3,Timing_1
R_bg7cQUV93CWU245,8.158,3,Timing_1
R_2OTJk9jZohSfhSm,3.061,3,Timing_1
R_pGZjTA8wFerMwcV,4.101,3,Timing_1
R_ypTZBjEyvsMpFG9,3.255,3,Timing_1
R_2YkUceTXXRwe7af,1.985,3,Timing_1
R_3D2u0Wq74kM9j2C,3.614,3,Timing_1
R_2Pv6m5XVNiv6pPQ,13.897,3,Timing_1
R_T1l2TIrq1do7Orn,4.006,3,Timing_1
R_9KphKBeCPmqzBCl,6.663,3,Timing_1
R_3qKjZplc0t8Y2IU,2.164,3,Timing_1
R_4GA7uQFTqbGKnlf,6.957,3,Timing_1
R_1hEVfCsYXJCzsVp,1.084,3,Timing_1
R_cHiCbzLrQrYeizP,5.255,3,Timing_1
R_3fQa4YiudlrrSLd,3.673,3,Timing_1
R_z0gtYvawsJg834J,3.708,3,Timing_1
R_2SvKoXHDxtivA4o,5.873,3,Timing_1
R_CeG821dsnmsmiZP,5.294,3,Timing_1
R_3MG93Py9LV1lYqI,1.799,3,Timing_1
R_UrtVng9RxUYqodr,9.136,3,Timing_1
R_yjxZCpumE2JuLwR,3.611,3,Timing_1
R_eOEX0Ye1lmhGlyl,3.537,3,Timing_1
R_cCLhtJmTS5XidYl,12.371,3,Timing_1
R_vZ75WKEQFz64rIt,4.288,3,Timing_1
R_1Nzi2lWnM0CO3kn,8.112,3,Timing_1
R_2tu71tqKKoKbfJ0,5.264,3,Timing_1
R_2PdQi8meHWRd7Fb,2.516,3,Timing_1
R_3PaHNs19NCzMVbu,50.76,3,Timing_1
R_CjK7Ok90OSXQ3XH,2.755,3,Timing_1
R_1lgEwIKXFHGT01V,1.388,3,Timing_1
R_2qq1JLwmdrdJM9d,8.691,3,Timing_1
R_ZrTEV9TpypUZEC5,2.994,3,Timing_1
R_3Gq55dSXHC6ANc8,8.43,3,Timing_1
R_3D8b4ozl4q217Ie,3.182,3,Timing_1
R_qV03fIB34drHELn,2.849,3,Timing_1
R_1mRh44rpwMf0PbH,4.191,3,Timing_1
R_3gNkgaxQ9C21dQW,1.841,3,Timing_1
R_21umvRGJCCZXoit,6.341,3,Timing_1
R_BKctGx9a1Hi7w4h,1.437,4,Timing_1
R_u2ffULg0uVmoetj,2.557,4,Timing_1
R_2vf9l3GOwanVBOH,0.555,4,Timing_1
R_OqjAwL4brYESqul,4.078,4,Timing_1
R_1LG8FwYsk4Xgq61,3.838,4,Timing_1
R_2wQZuV97sKRkDfp,2.574,4,Timing_1
R_2dsf9d9zlzEbaRw,3.63,4,Timing_1
R_3j0ZzVXSe6NB0v0,11.396,4,Timing_1
R_2SqwKT4bUhZVaYX,5.696,4,Timing_1
R_6yuZ6GaDGqciNE1,9.14,4,Timing_1
R_22DGKB9Dz59SJIt,17.041,4,Timing_1
R_5iDE07CUBSNZdqF,8.977,4,Timing_1
R_2w61flKU0TAtmrX,4.859,4,Timing_1
R_2Y4gtCNHITcznSw,2.681,4,Timing_1
R_2qDHMLvHLCvMWMS,2.477,4,Timing_1
R_bg7cQUV93CWU245,3.565,4,Timing_1
R_2OTJk9jZohSfhSm,2.918,4,Timing_1
R_pGZjTA8wFerMwcV,3.669,4,Timing_1
R_ypTZBjEyvsMpFG9,2.996,4,Timing_1
R_2YkUceTXXRwe7af,2.454,4,Timing_1
R_3D2u0Wq74kM9j2C,5.647,4,Timing_1
R_2Pv6m5XVNiv6pPQ,5.823,4,Timing_1
R_T1l2TIrq1do7Orn,5.045,4,Timing_1
R_9KphKBeCPmqzBCl,4.765,4,Timing_1
R_3qKjZplc0t8Y2IU,7.761,4,Timing_1
R_4GA7uQFTqbGKnlf,0.976,4,Timing_1
R_1hEVfCsYXJCzsVp,1.325,4,Timing_1
R_cHiCbzLrQrYeizP,32.034,4,Timing_1
R_3fQa4YiudlrrSLd,5.174,4,Timing_1
R_z0gtYvawsJg834J,1.659,4,Timing_1
R_2SvKoXHDxtivA4o,5.394,4,Timing_1
R_CeG821dsnmsmiZP,1.825,4,Timing_1
R_3MG93Py9LV1lYqI,2.047,4,Timing_1
R_UrtVng9RxUYqodr,9.047,4,Timing_1
R_yjxZCpumE2JuLwR,6.983,4,Timing_1
R_eOEX0Ye1lmhGlyl,8.637,4,Timing_1
R_cCLhtJmTS5XidYl,7.04,4,Timing_1
R_vZ75WKEQFz64rIt,6.202,4,Timing_1
R_1Nzi2lWnM0CO3kn,3.803,4,Timing_1
R_2tu71tqKKoKbfJ0,11.188,4,Timing_1
R_2PdQi8meHWRd7Fb,3.1,4,Timing_1
R_3PaHNs19NCzMVbu,2.129,4,Timing_1
R_CjK7Ok90OSXQ3XH,3.574,4,Timing_1
R_1lgEwIKXFHGT01V,1.751,4,Timing_1
R_2qq1JLwmdrdJM9d,11.904,4,Timing_1
R_ZrTEV9TpypUZEC5,404.536,4,Timing_1
R_3Gq55dSXHC6ANc8,5.253,4,Timing_1
R_3D8b4ozl4q217Ie,4.464,4,Timing_1
R_qV03fIB34drHELn,16.746,4,Timing_1
R_1mRh44rpwMf0PbH,6.271,4,Timing_1
R_3gNkgaxQ9C21dQW,5.205,4,Timing_1
R_21umvRGJCCZXoit,6.454,4,Timing_1
R_BKctGx9a1Hi7w4h,1.443,5,Timing_1
R_u2ffULg0uVmoetj,3.482,5,Timing_1
R_2vf9l3GOwanVBOH,7.404,5,Timing_1
R_OqjAwL4brYESqul,6.477,5,Timing_1
R_1LG8FwYsk4Xgq61,3.256,5,Timing_1
R_2wQZuV97sKRkDfp,2.672,5,Timing_1
R_2dsf9d9zlzEbaRw,2.501,5,Timing_1
R_3j0ZzVXSe6NB0v0,6.675,5,Timing_1
R_2SqwKT4bUhZVaYX,7.818,5,Timing_1
R_6yuZ6GaDGqciNE1,6.102,5,Timing_1
R_22DGKB9Dz59SJIt,19.048,5,Timing_1
R_5iDE07CUBSNZdqF,3.75,5,Timing_1
R_2w61flKU0TAtmrX,2.846,5,Timing_1
R_2Y4gtCNHITcznSw,2.842,5,Timing_1
R_2qDHMLvHLCvMWMS,3.416,5,Timing_1
R_bg7cQUV93CWU245,4.035,5,Timing_1
R_2OTJk9jZohSfhSm,3.486,5,Timing_1
R_pGZjTA8wFerMwcV,4.688,5,Timing_1
R_ypTZBjEyvsMpFG9,2.432,5,Timing_1
R_2YkUceTXXRwe7af,2.732,5,Timing_1
R_3D2u0Wq74kM9j2C,5.932,5,Timing_1
R_2Pv6m5XVNiv6pPQ,5.756,5,Timing_1
R_T1l2TIrq1do7Orn,6.078,5,Timing_1
R_9KphKBeCPmqzBCl,7.909,5,Timing_1
R_3qKjZplc0t8Y2IU,5.576,5,Timing_1
R_4GA7uQFTqbGKnlf,1.159,5,Timing_1
R_1hEVfCsYXJCzsVp,1.776,5,Timing_1
R_cHiCbzLrQrYeizP,6.094,5,Timing_1
R_3fQa4YiudlrrSLd,1.164,5,Timing_1
R_z0gtYvawsJg834J,1.537,5,Timing_1
R_2SvKoXHDxtivA4o,7.092,5,Timing_1
R_CeG821dsnmsmiZP,1.765,5,Timing_1
R_3MG93Py9LV1lYqI,1.625,5,Timing_1
R_UrtVng9RxUYqodr,4.229,5,Timing_1
R_yjxZCpumE2JuLwR,3.3,5,Timing_1
R_eOEX0Ye1lmhGlyl,13.344,5,Timing_1
R_cCLhtJmTS5XidYl,3.251,5,Timing_1
R_vZ75WKEQFz64rIt,2.394,5,Timing_1
R_1Nzi2lWnM0CO3kn,6.945,5,Timing_1
R_2tu71tqKKoKbfJ0,9.728,5,Timing_1
R_2PdQi8meHWRd7Fb,64.543,5,Timing_1
R_3PaHNs19NCzMVbu,3.01,5,Timing_1
R_CjK7Ok90OSXQ3XH,2.372,5,Timing_1
R_1lgEwIKXFHGT01V,1.07,5,Timing_1
R_2qq1JLwmdrdJM9d,4.213,5,Timing_1
R_ZrTEV9TpypUZEC5,55.624,5,Timing_1
R_3Gq55dSXHC6ANc8,3.885,5,Timing_1
R_3D8b4ozl4q217Ie,1.963,5,Timing_1
R_qV03fIB34drHELn,12.164,5,Timing_1
R_1mRh44rpwMf0PbH,4.729,5,Timing_1
R_3gNkgaxQ9C21dQW,2.69,5,Timing_1
R_21umvRGJCCZXoit,7.28,5,Timing_1
R_BKctGx9a1Hi7w4h,1.07,6,Timing_1
R_u2ffULg0uVmoetj,6.085,6,Timing_1
R_2vf9l3GOwanVBOH,0.723,6,Timing_1
R_OqjAwL4brYESqul,4.004,6,Timing_1
R_1LG8FwYsk4Xgq61,2.906,6,Timing_1
R_2wQZuV97sKRkDfp,1.348,6,Timing_1
R_2dsf9d9zlzEbaRw,5.396,6,Timing_1
R_3j0ZzVXSe6NB0v0,44.357,6,Timing_1
R_2SqwKT4bUhZVaYX,7.201,6,Timing_1
R_6yuZ6GaDGqciNE1,13.469,6,Timing_1
R_22DGKB9Dz59SJIt,14.895,6,Timing_1
R_5iDE07CUBSNZdqF,6.827,6,Timing_1
R_2w61flKU0TAtmrX,2.292,6,Timing_1
R_2Y4gtCNHITcznSw,4.498,6,Timing_1
R_2qDHMLvHLCvMWMS,11.948,6,Timing_1
R_bg7cQUV93CWU245,4.661,6,Timing_1
R_2OTJk9jZohSfhSm,2.556,6,Timing_1
R_pGZjTA8wFerMwcV,10.509,6,Timing_1
R_ypTZBjEyvsMpFG9,3.816,6,Timing_1
R_2YkUceTXXRwe7af,1.786,6,Timing_1
R_3D2u0Wq74kM9j2C,1.08,6,Timing_1
R_2Pv6m5XVNiv6pPQ,14.757,6,Timing_1
R_T1l2TIrq1do7Orn,4.122,6,Timing_1
R_9KphKBeCPmqzBCl,12.662,6,Timing_1
R_3qKjZplc0t8Y2IU,1.946,6,Timing_1
R_4GA7uQFTqbGKnlf,1.038,6,Timing_1
R_1hEVfCsYXJCzsVp,7.276,6,Timing_1
R_cHiCbzLrQrYeizP,7.709,6,Timing_1
R_3fQa4YiudlrrSLd,4.302,6,Timing_1
R_z0gtYvawsJg834J,2.117,6,Timing_1
R_2SvKoXHDxtivA4o,12.13,6,Timing_1
