subj_id,qual_col,RT,measure,row,sentID
R_6Pg4ql6MQumxZo9,Timing_1(3),4.217,Timing_1,3,145
R_1QaBlAsk46HI9NJ,Timing_1(3),48.727,Timing_1,3,145
R_pKtuHvEeh5mujgl,Timing_1(3),2.352,Timing_1,3,145
R_RrYmeJDnKB3hv7r,Timing_1(3),3.018,Timing_1,3,145
R_2alPe2ZkILnzWYp,Timing_1(3),4.579,Timing_1,3,145
R_24zMzQY1U9LX5Gf,Timing_1(3),1.504,Timing_1,3,145
R_2zAp7MZjWbJtouD,Timing_1(3),7.935,Timing_1,3,145
R_1lgea30X5yRbWgb,Timing_1(3),5.203,Timing_1,3,145
R_1dg0dAPlymYfFcu,Timing_1(3),3.728,Timing_1,3,145
R_23TSscPxb3G1aSA,Timing_1(3),4.06,Timing_1,3,145
R_3effdDALVVpFhkK,Timing_1(3),7.686,Timing_1,3,145
R_2PpvbvcItA8LcqM,Timing_1(3),23.079,Timing_1,3,145
R_25WvorTEPc7DuHX,Timing_1(3),8.388,Timing_1,3,145
R_ZJCIt5D6m80Wim5,Timing_1(3),9.84,Timing_1,3,145
R_6gQpeEEoAOw1CNz,Timing_1(3),5.061,Timing_1,3,145
R_UcJP3naTdDXJEDn,Timing_1(3),3.797,Timing_1,3,145
R_21pKbw8vqrjpJ4Q,Timing_1(3),14.398,Timing_1,3,145
R_1HiWKvIl546M44z,Timing_1(3),3.744,Timing_1,3,145
R_BFIiDPrnKiKOhkB,Timing_1(3),4.985,Timing_1,3,145
R_232AZeZQOdbRSAK,Timing_1(3),4.888,Timing_1,3,145
R_1odMwWpdALe3A7c,Timing_1(3),2.712,Timing_1,3,145
R_3CMZ1prTdwstnIi,Timing_1(3),2.009,Timing_1,3,145
R_2SDkvNUYWKzQ9b4,Timing_1(3),2.226,Timing_1,3,145
R_2qwqWlqovi1EnxK,Timing_1(3),6.955,Timing_1,3,145
R_1nSW9rReHHlwpSQ,Timing_1(3),3.407,Timing_1,3,145
R_3FPt6NNv7fs4bHV,Timing_1(3),4.987,Timing_1,3,145
R_2uOs8d5Okoyss7z,Timing_1(3),6.136,Timing_1,3,145
R_1JEdl2aEMuUO63f,Timing_1(3),3.408,Timing_1,3,145
R_6L3ln2BoQAzJw2d,Timing_1(3),1.488,Timing_1,3,145
R_xAA7goWcKMvmb1D,Timing_1(3),1.075,Timing_1,3,145
R_248iCMeSwyLS8sF,Timing_1(3),4.096,Timing_1,3,145
R_OING4tGkg3q8VLb,Timing_1(3),17.237,Timing_1,3,145
R_3kvbwPackXPANmo,Timing_1(3),2.263,Timing_1,3,145
R_3lRiG6M8Z6vKWZh,Timing_1(3),4.39,Timing_1,3,145
R_3q9cZ9NJjEx872v,Timing_1(3),6.611,Timing_1,3,145
R_ABt8n7PxUqkXqy5,Timing_1(3),5.119,Timing_1,3,145
R_3k6rPDoCD4kup7x,Timing_1(3),6.602,Timing_1,3,145
R_p6iBXJstulO97Jn,Timing_1(3),3.192,Timing_1,3,145
R_USFewLQTXHp0kPT,Timing_1(3),0.644,Timing_1,3,145
R_vrAH2qrxu41QSv7,Timing_1(4),7.361,Timing_1,4,146
R_6Pg4ql6MQumxZo9,Timing_1(4),2.408,Timing_1,4,146
R_1QaBlAsk46HI9NJ,Timing_1(4),3.819,Timing_1,4,146
R_pKtuHvEeh5mujgl,Timing_1(4),3.845,Timing_1,4,146
R_RrYmeJDnKB3hv7r,Timing_1(4),3.059,Timing_1,4,146
R_2alPe2ZkILnzWYp,Timing_1(4),4.988,Timing_1,4,146
R_24zMzQY1U9LX5Gf,Timing_1(4),2.913,Timing_1,4,146
R_2zAp7MZjWbJtouD,Timing_1(4),6.101,Timing_1,4,146
R_1lgea30X5yRbWgb,Timing_1(4),15.032,Timing_1,4,146
R_1dg0dAPlymYfFcu,Timing_1(4),3.323,Timing_1,4,146
R_23TSscPxb3G1aSA,Timing_1(4),5.358,Timing_1,4,146
R_3effdDALVVpFhkK,Timing_1(4),5.841,Timing_1,4,146
R_2PpvbvcItA8LcqM,Timing_1(4),12.727,Timing_1,4,146
R_25WvorTEPc7DuHX,Timing_1(4),6.15,Timing_1,4,146
R_ZJCIt5D6m80Wim5,Timing_1(4),4.033,Timing_1,4,146
R_6gQpeEEoAOw1CNz,Timing_1(4),3.5,Timing_1,4,146
R_UcJP3naTdDXJEDn,Timing_1(4),7.454,Timing_1,4,146
R_21pKbw8vqrjpJ4Q,Timing_1(4),6.678,Timing_1,4,146
R_1HiWKvIl546M44z,Timing_1(4),4.366,Timing_1,4,146
R_BFIiDPrnKiKOhkB,Timing_1(4),4.301,Timing_1,4,146
R_232AZeZQOdbRSAK,Timing_1(4),6.517,Timing_1,4,146
R_1odMwWpdALe3A7c,Timing_1(4),4.749,Timing_1,4,146
R_3CMZ1prTdwstnIi,Timing_1(4),2.908,Timing_1,4,146
R_2SDkvNUYWKzQ9b4,Timing_1(4),2.958,Timing_1,4,146
R_2qwqWlqovi1EnxK,Timing_1(4),5.689,Timing_1,4,146
R_1nSW9rReHHlwpSQ,Timing_1(4),4.536,Timing_1,4,146
R_3FPt6NNv7fs4bHV,Timing_1(4),4.062,Timing_1,4,146
R_2uOs8d5Okoyss7z,Timing_1(4),3.237,Timing_1,4,146
R_1JEdl2aEMuUO63f,Timing_1(4),4.121,Timing_1,4,146
R_6L3ln2BoQAzJw2d,Timing_1(4),1.218,Timing_1,4,146
R_xAA7goWcKMvmb1D,Timing_1(4),5.666,Timing_1,4,146
