subj_id,Diff,measure,sentID
R_cHiCbzLrQrYeizP,6,Diff,3
R_3fQa4YiudlrrSLd,6,Diff,3
R_z0gtYvawsJg834J,2,Diff,3
R_2SvKoXHDxtivA4o,6,Diff,3
R_CeG821dsnmsmiZP,6,Diff,3
R_3MG93Py9LV1lYqI,6,Diff,3
R_UrtVng9RxUYqodr,6,Diff,3
R_yjxZCpumE2JuLwR,6,Diff,3
R_eOEX0Ye1lmhGlyl,4,Diff,3
R_cCLhtJmTS5XidYl,6,Diff,3
R_vZ75WKEQFz64rIt,5,Diff,3
R_1Nzi2lWnM0CO3kn,6,Diff,3
R_2tu71tqKKoKbfJ0,6,Diff,3
R_2PdQi8meHWRd7Fb,6,Diff,3
R_3PaHNs19NCzMVbu,6,Diff,3
R_CjK7Ok90OSXQ3XH,6,Diff,3
R_1lgEwIKXFHGT01V,6,Diff,3
R_2qq1JLwmdrdJM9d,5,Diff,3
R_ZrTEV9TpypUZEC5,6,Diff,3
R_3Gq55dSXHC6ANc8,6,Diff,3
R_3D8b4ozl4q217Ie,6,Diff,3
R_qV03fIB34drHELn,6,Diff,3
R_1mRh44rpwMf0PbH,6,Diff,3
R_3gNkgaxQ9C21dQW,6,Diff,3
R_21umvRGJCCZXoit,6,Diff,3
R_BKctGx9a1Hi7w4h,4,Diff,4
R_u2ffULg0uVmoetj,6,Diff,4
R_2vf9l3GOwanVBOH,5,Diff,4
R_OqjAwL4brYESqul,6,Diff,4
R_1LG8FwYsk4Xgq61,6,Diff,4
R_2wQZuV97sKRkDfp,6,Diff,4
R_2dsf9d9zlzEbaRw,5,Diff,4
R_3j0ZzVXSe6NB0v0,6,Diff,4
R_2SqwKT4bUhZVaYX,6,Diff,4
R_6yuZ6GaDGqciNE1,6,Diff,4
R_22DGKB9Dz59SJIt,5,Diff,4
R_5iDE07CUBSNZdqF,6,Diff,4
R_2w61flKU0TAtmrX,6,Diff,4
R_2Y4gtCNHITcznSw,6,Diff,4
R_2qDHMLvHLCvMWMS,6,Diff,4
R_bg7cQUV93CWU245,6,Diff,4
R_2OTJk9jZohSfhSm,6,Diff,4
R_pGZjTA8wFerMwcV,6,Diff,4
R_ypTZBjEyvsMpFG9,6,Diff,4
R_2YkUceTXXRwe7af,5,Diff,4
R_3D2u0Wq74kM9j2C,6,Diff,4
R_2Pv6m5XVNiv6pPQ,6,Diff,4
R_T1l2TIrq1do7Orn,5,Diff,4
R_9KphKBeCPmqzBCl,6,Diff,4
R_3qKjZplc0t8Y2IU,6,Diff,4
R_4GA7uQFTqbGKnlf,6,Diff,4
R_1hEVfCsYXJCzsVp,5,Diff,4
R_cHiCbzLrQrYeizP,6,Diff,4
R_3fQa4YiudlrrSLd,5,Diff,4
R_z0gtYvawsJg834J,6,Diff,4
R_2SvKoXHDxtivA4o,6,Diff,4
R_CeG821dsnmsmiZP,6,Diff,4
R_3MG93Py9LV1lYqI,6,Diff,4
R_UrtVng9RxUYqodr,6,Diff,4
R_yjxZCpumE2JuLwR,6,Diff,4
R_eOEX0Ye1lmhGlyl,5,Diff,4
R_cCLhtJmTS5XidYl,6,Diff,4
R_vZ75WKEQFz64rIt,6,Diff,4
R_1Nzi2lWnM0CO3kn,6,Diff,4
R_2tu71tqKKoKbfJ0,6,Diff,4
R_2PdQi8meHWRd7Fb,6,Diff,4
R_3PaHNs19NCzMVbu,6,Diff,4
R_CjK7Ok90OSXQ3XH,6,Diff,4
R_1lgEwIKXFHGT01V,6,Diff,4
R_2qq1JLwmdrdJM9d,6,Diff,4
R_ZrTEV9TpypUZEC5,6,Diff,4
R_3Gq55dSXHC6ANc8,6,Diff,4
R_3D8b4ozl4q217Ie,6,Diff,4
R_qV03fIB34drHELn,2,Diff,4
R_1mRh44rpwMf0PbH,6,Diff,4
R_3gNkgaxQ9C21dQW,6,Diff,4
R_21umvRGJCCZXoit,5,Diff,4
R_BKctGx9a1Hi7w4h,6,Diff,5
R_u2ffULg0uVmoetj,6,Diff,5
R_2vf9l3GOwanVBOH,6,Diff,5
R_OqjAwL4brYESqul,6,Diff,5
R_1LG8FwYsk4Xgq61,6,Diff,5
R_2wQZuV97sKRkDfp,6,Diff,5
R_2dsf9d9zlzEbaRw,6,Diff,5
R_3j0ZzVXSe6NB0v0,6,Diff,5
R_2SqwKT4bUhZVaYX,6,Diff,5
R_6yuZ6GaDGqciNE1,6,Diff,5
R_22DGKB9Dz59SJIt,5,Diff,5
R_5iDE07CUBSNZdqF,6,Diff,5
R_2w61flKU0TAtmrX,6,Diff,5
R_2Y4gtCNHITcznSw,6,Diff,5
R_2qDHMLvHLCvMWMS,6,Diff,5
R_bg7cQUV93CWU245,6,Diff,5
R_2OTJk9jZohSfhSm,6,Diff,5
R_pGZjTA8wFerMwcV,6,Diff,5
R_ypTZBjEyvsMpFG9,6,Diff,5
R_2YkUceTXXRwe7af,5,Diff,5
R_3D2u0Wq74kM9j2C,5,Diff,5
R_2Pv6m5XVNiv6pPQ,6,Diff,5
R_T1l2TIrq1do7Orn,4,Diff,5
R_9KphKBeCPmqzBCl,6,Diff,5
R_3qKjZplc0t8Y2IU,6,Diff,5
R_4GA7uQFTqbGKnlf,6,Diff,5
R_1hEVfCsYXJCzsVp,5,Diff,5
R_cHiCbzLrQrYeizP,6,Diff,5
R_3fQa4YiudlrrSLd,6,Diff,5
R_z0gtYvawsJg834J,6,Diff,5
R_2SvKoXHDxtivA4o,6,Diff,5
R_CeG821dsnmsmiZP,6,Diff,5
R_3MG93Py9LV1lYqI,6,Diff,5
R_UrtVng9RxUYqodr,6,Diff,5
R_yjxZCpumE2JuLwR,6,Diff,5
R_eOEX0Ye1lmhGlyl,6,Diff,5
R_cCLhtJmTS5XidYl,6,Diff,5
R_vZ75WKEQFz64rIt,6,Diff,5
R_1Nzi2lWnM0CO3kn,6,Diff,5
R_2tu71tqKKoKbfJ0,6,Diff,5
R_2PdQi8meHWRd7Fb,4,Diff,5
R_3PaHNs19NCzMVbu,6,Diff,5
R_CjK7Ok90OSXQ3XH,6,Diff,5
R_1lgEwIKXFHGT01V,6,Diff,5
R_2qq1JLwmdrdJM9d,6,Diff,5
R_ZrTEV9TpypUZEC5,6,Diff,5
R_3Gq55dSXHC6ANc8,6,Diff,5
R_3D8b4ozl4q217Ie,6,Diff,5
R_qV03fIB34drHELn,6,Diff,5
R_1mRh44rpwMf0PbH,6,Diff,5
R_3gNkgaxQ9C21dQW,6,Diff,5
R_21umvRGJCCZXoit,6,Diff,5
R_BKctGx9a1Hi7w4h,3,Diff,6
R_u2ffULg0uVmoetj,6,Diff,6
R_2vf9l3GOwanVBOH,6,Diff,6
R_OqjAwL4brYESqul,6,Diff,6
R_1LG8FwYsk4Xgq61,6,Diff,6
R_2wQZuV97sKRkDfp,6,Diff,6
R_2dsf9d9zlzEbaRw,6,Diff,6
R_3j0ZzVXSe6NB0v0,5,Diff,6
R_2SqwKT4bUhZVaYX,6,Diff,6
R_6yuZ6GaDGqciNE1,6,Diff,6
R_22DGKB9Dz59SJIt,6,Diff,6
R_5iDE07CUBSNZdqF,6,Diff,6
R_2w61flKU0TAtmrX,6,Diff,6
R_2Y4gtCNHITcznSw,6,Diff,6
R_2qDHMLvHLCvMWMS,6,Diff,6
R_bg7cQUV93CWU245,6,Diff,6
R_2OTJk9jZohSfhSm,6,Diff,6
R_pGZjTA8wFerMwcV,6,Diff,6
R_ypTZBjEyvsMpFG9,5,Diff,6
R_2YkUceTXXRwe7af,5,Diff,6
R_3D2u0Wq74kM9j2C,4,Diff,6
R_2Pv6m5XVNiv6pPQ,6,Diff,6
R_T1l2TIrq1do7Orn,5,Diff,6
R_9KphKBeCPmqzBCl,6,Diff,6
R_3qKjZplc0t8Y2IU,6,Diff,6
R_4GA7uQFTqbGKnlf,5,Diff,6
R_1hEVfCsYXJCzsVp,5,Diff,6
R_cHiCbzLrQrYeizP,6,Diff,6
R_3fQa4YiudlrrSLd,6,Diff,6
R_z0gtYvawsJg834J,6,Diff,6
R_2SvKoXHDxtivA4o,5,Diff,6
R_CeG821dsnmsmiZP,6,Diff,6
R_3MG93Py9LV1lYqI,6,Diff,6
R_UrtVng9RxUYqodr,6,Diff,6
R_yjxZCpumE2JuLwR,6,Diff,6
R_eOEX0Ye1lmhGlyl,6,Diff,6
R_cCLhtJmTS5XidYl,6,Diff,6
R_vZ75WKEQFz64rIt,5,Diff,6
R_1Nzi2lWnM0CO3kn,6,Diff,6
R_2tu71tqKKoKbfJ0,6,Diff,6
R_2PdQi8meHWRd7Fb,5,Diff,6
R_3PaHNs19NCzMVbu,6,Diff,6
R_CjK7Ok90OSXQ3XH,6,Diff,6
R_1lgEwIKXFHGT01V,6,Diff,6
R_2qq1JLwmdrdJM9d,6,Diff,6
R_ZrTEV9TpypUZEC5,6,Diff,6
R_3Gq55dSXHC6ANc8,6,Diff,6
R_3D8b4ozl4q217Ie,6,Diff,6
R_qV03fIB34drHELn,5,Diff,6
R_1mRh44rpwMf0PbH,6,Diff,6
R_3gNkgaxQ9C21dQW,6,Diff,6
R_21umvRGJCCZXoit,4,Diff,6
R_BKctGx9a1Hi7w4h,3,Diff,7
R_u2ffULg0uVmoetj,5,Diff,7
R_2vf9l3GOwanVBOH,6,Diff,7
R_OqjAwL4brYESqul,6,Diff,7
R_1LG8FwYsk4Xgq61,6,Diff,7
R_2wQZuV97sKRkDfp,6,Diff,7
R_2dsf9d9zlzEbaRw,4,Diff,7
R_3j0ZzVXSe6NB0v0,6,Diff,7
R_2SqwKT4bUhZVaYX,6,Diff,7
R_6yuZ6GaDGqciNE1,6,Diff,7
R_22DGKB9Dz59SJIt,6,Diff,7
R_5iDE07CUBSNZdqF,6,Diff,7
R_2w61flKU0TAtmrX,6,Diff,7
R_2Y4gtCNHITcznSw,6,Diff,7
R_2qDHMLvHLCvMWMS,6,Diff,7
R_bg7cQUV93CWU245,6,Diff,7
R_2OTJk9jZohSfhSm,6,Diff,7
R_pGZjTA8wFerMwcV,4,Diff,7
R_ypTZBjEyvsMpFG9,6,Diff,7
R_2YkUceTXXRwe7af,5,Diff,7
R_3D2u0Wq74kM9j2C,6,Diff,7
R_2Pv6m5XVNiv6pPQ,6,Diff,7
R_T1l2TIrq1do7Orn,6,Diff,7
R_9KphKBeCPmqzBCl,6,Diff,7
R_3qKjZplc0t8Y2IU,6,Diff,7
R_4GA7uQFTqbGKnlf,6,Diff,7
R_1hEVfCsYXJCzsVp,6,Diff,7
R_cHiCbzLrQrYeizP,5,Diff,7
R_3fQa4YiudlrrSLd,6,Diff,7
R_z0gtYvawsJg834J,6,Diff,7
R_2SvKoXHDxtivA4o,6,Diff,7
R_CeG821dsnmsmiZP,6,Diff,7
R_3MG93Py9LV1lYqI,6,Diff,7
R_UrtVng9RxUYqodr,6,Diff,7
R_yjxZCpumE2JuLwR,6,Diff,7
R_eOEX0Ye1lmhGlyl,6,Diff,7
R_cCLhtJmTS5XidYl,6,Diff,7
R_vZ75WKEQFz64rIt,5,Diff,7
R_1Nzi2lWnM0CO3kn,6,Diff,7
R_2tu71tqKKoKbfJ0,6,Diff,7
R_2PdQi8meHWRd7Fb,5,Diff,7
R_3PaHNs19NCzMVbu,6,Diff,7
R_CjK7Ok90OSXQ3XH,6,Diff,7
R_1lgEwIKXFHGT01V,6,Diff,7
R_2qq1JLwmdrdJM9d,3,Diff,7
R_ZrTEV9TpypUZEC5,6,Diff,7
R_3Gq55dSXHC6ANc8,3,Diff,7
R_3D8b4ozl4q217Ie,6,Diff,7
R_qV03fIB34drHELn,4,Diff,7
R_1mRh44rpwMf0PbH,6,Diff,7
R_3gNkgaxQ9C21dQW,6,Diff,7
R_21umvRGJCCZXoit,4,Diff,7
R_BKctGx9a1Hi7w4h,5,Diff,8
R_u2ffULg0uVmoetj,6,Diff,8
R_2vf9l3GOwanVBOH,6,Diff,8
R_OqjAwL4brYESqul,6,Diff,8
R_1LG8FwYsk4Xgq61,6,Diff,8
R_2wQZuV97sKRkDfp,6,Diff,8
R_2dsf9d9zlzEbaRw,6,Diff,8
R_3j0ZzVXSe6NB0v0,6,Diff,8
R_2SqwKT4bUhZVaYX,6,Diff,8
R_6yuZ6GaDGqciNE1,6,Diff,8
R_22DGKB9Dz59SJIt,6,Diff,8
R_5iDE07CUBSNZdqF,6,Diff,8
R_2w61flKU0TAtmrX,6,Diff,8
R_2Y4gtCNHITcznSw,6,Diff,8
R_2qDHMLvHLCvMWMS,6,Diff,8
R_bg7cQUV93CWU245,6,Diff,8
R_2OTJk9jZohSfhSm,6,Diff,8
R_pGZjTA8wFerMwcV,4,Diff,8
R_ypTZBjEyvsMpFG9,5,Diff,8
R_2YkUceTXXRwe7af,5,Diff,8
R_3D2u0Wq74kM9j2C,6,Diff,8
R_2Pv6m5XVNiv6pPQ,6,Diff,8
R_T1l2TIrq1do7Orn,6,Diff,8
R_9KphKBeCPmqzBCl,6,Diff,8
R_3qKjZplc0t8Y2IU,6,Diff,8
R_4GA7uQFTqbGKnlf,6,Diff,8
R_1hEVfCsYXJCzsVp,5,Diff,8
R_cHiCbzLrQrYeizP,6,Diff,8
R_3fQa4YiudlrrSLd,6,Diff,8
R_z0gtYvawsJg834J,6,Diff,8
R_2SvKoXHDxtivA4o,6,Diff,8
R_CeG821dsnmsmiZP,6,Diff,8
R_3MG93Py9LV1lYqI,6,Diff,8
R_UrtVng9RxUYqodr,6,Diff,8
R_yjxZCpumE2JuLwR,6,Diff,8
R_eOEX0Ye1lmhGlyl,6,Diff,8
R_cCLhtJmTS5XidYl,6,Diff,8
R_vZ75WKEQFz64rIt,6,Diff,8
R_1Nzi2lWnM0CO3kn,6,Diff,8
R_2tu71tqKKoKbfJ0,5,Diff,8
R_2PdQi8meHWRd7Fb,6,Diff,8
R_3PaHNs19NCzMVbu,6,Diff,8
R_CjK7Ok90OSXQ3XH,6,Diff,8
R_1lgEwIKXFHGT01V,6,Diff,8
R_2qq1JLwmdrdJM9d,6,Diff,8
R_ZrTEV9TpypUZEC5,6,Diff,8
R_3Gq55dSXHC6ANc8,6,Diff,8
R_3D8b4ozl4q217Ie,5,Diff,8
R_qV03fIB34drHELn,6,Diff,8
R_1mRh44rpwMf0PbH,6,Diff,8
R_3gNkgaxQ9C21dQW,6,Diff,8
R_21umvRGJCCZXoit,5,Diff,8
R_BKctGx9a1Hi7w4h,6,Diff,9
R_u2ffULg0uVmoetj,6,Diff,9
R_2vf9l3GOwanVBOH,6,Diff,9
R_OqjAwL4brYESqul,6,Diff,9
R_1LG8FwYsk4Xgq61,6,Diff,9
R_2wQZuV97sKRkDfp,6,Diff,9
R_2dsf9d9zlzEbaRw,6,Diff,9
R_3j0ZzVXSe6NB0v0,6,Diff,9
R_2SqwKT4bUhZVaYX,6,Diff,9
R_6yuZ6GaDGqciNE1,6,Diff,9
R_22DGKB9Dz59SJIt,6,Diff,9
R_5iDE07CUBSNZdqF,6,Diff,9
R_2w61flKU0TAtmrX,4,Diff,9
R_2Y4gtCNHITcznSw,6,Diff,9
R_2qDHMLvHLCvMWMS,6,Diff,9
R_bg7cQUV93CWU245,4,Diff,9
R_2OTJk9jZohSfhSm,6,Diff,9
R_pGZjTA8wFerMwcV,6,Diff,9
R_ypTZBjEyvsMpFG9,6,Diff,9
R_2YkUceTXXRwe7af,5,Diff,9
R_3D2u0Wq74kM9j2C,5,Diff,9
R_2Pv6m5XVNiv6pPQ,6,Diff,9
R_T1l2TIrq1do7Orn,5,Diff,9
R_9KphKBeCPmqzBCl,5,Diff,9
R_3qKjZplc0t8Y2IU,6,Diff,9
R_4GA7uQFTqbGKnlf,5,Diff,9
R_1hEVfCsYXJCzsVp,5,Diff,9
R_cHiCbzLrQrYeizP,6,Diff,9
R_3fQa4YiudlrrSLd,4,Diff,9
R_z0gtYvawsJg834J,6,Diff,9
R_2SvKoXHDxtivA4o,6,Diff,9
R_CeG821dsnmsmiZP,6,Diff,9
R_3MG93Py9LV1lYqI,6,Diff,9
R_UrtVng9RxUYqodr,6,Diff,9
R_yjxZCpumE2JuLwR,6,Diff,9
R_eOEX0Ye1lmhGlyl,5,Diff,9
R_cCLhtJmTS5XidYl,6,Diff,9
R_vZ75WKEQFz64rIt,5,Diff,9
R_1Nzi2lWnM0CO3kn,6,Diff,9
R_2tu71tqKKoKbfJ0,6,Diff,9
R_2PdQi8meHWRd7Fb,4,Diff,9
R_3PaHNs19NCzMVbu,6,Diff,9
R_CjK7Ok90OSXQ3XH,6,Diff,9
R_1lgEwIKXFHGT01V,6,Diff,9
R_2qq1JLwmdrdJM9d,6,Diff,9
R_ZrTEV9TpypUZEC5,6,Diff,9
R_3Gq55dSXHC6ANc8,6,Diff,9
R_3D8b4ozl4q217Ie,5,Diff,9
R_qV03fIB34drHELn,6,Diff,9
R_1mRh44rpwMf0PbH,6,Diff,9
R_3gNkgaxQ9C21dQW,6,Diff,9
R_21umvRGJCCZXoit,4,Diff,9
R_BKctGx9a1Hi7w4h,6,Diff,10
R_u2ffULg0uVmoetj,4,Diff,10
R_2vf9l3GOwanVBOH,3,Diff,10
R_OqjAwL4brYESqul,6,Diff,10
R_1LG8FwYsk4Xgq61,4,Diff,10
R_2wQZuV97sKRkDfp,4,Diff,10
R_2dsf9d9zlzEbaRw,6,Diff,10
R_3j0ZzVXSe6NB0v0,2,Diff,10
R_2SqwKT4bUhZVaYX,5,Diff,10
R_6yuZ6GaDGqciNE1,6,Diff,10
R_22DGKB9Dz59SJIt,2,Diff,10
R_5iDE07CUBSNZdqF,5,Diff,10
R_2w61flKU0TAtmrX,4,Diff,10
R_2Y4gtCNHITcznSw,5,Diff,10
R_2qDHMLvHLCvMWMS,5,Diff,10
R_bg7cQUV93CWU245,5,Diff,10
R_2OTJk9jZohSfhSm,3,Diff,10
R_pGZjTA8wFerMwcV,4,Diff,10
R_ypTZBjEyvsMpFG9,4,Diff,10
R_2YkUceTXXRwe7af,4,Diff,10
R_3D2u0Wq74kM9j2C,3,Diff,10
R_2Pv6m5XVNiv6pPQ,6,Diff,10
R_T1l2TIrq1do7Orn,2,Diff,10
R_9KphKBeCPmqzBCl,4,Diff,10
R_3qKjZplc0t8Y2IU,3,Diff,10
R_4GA7uQFTqbGKnlf,6,Diff,10
R_1hEVfCsYXJCzsVp,3,Diff,10
R_cHiCbzLrQrYeizP,6,Diff,10
R_3fQa4YiudlrrSLd,5,Diff,10
R_z0gtYvawsJg834J,4,Diff,10
R_2SvKoXHDxtivA4o,4,Diff,10
R_CeG821dsnmsmiZP,3,Diff,10
R_3MG93Py9LV1lYqI,5,Diff,10
R_UrtVng9RxUYqodr,2,Diff,10
R_yjxZCpumE2JuLwR,6,Diff,10
R_eOEX0Ye1lmhGlyl,4,Diff,10
R_cCLhtJmTS5XidYl,6,Diff,10
R_vZ75WKEQFz64rIt,4,Diff,10
R_1Nzi2lWnM0CO3kn,4,Diff,10
R_2tu71tqKKoKbfJ0,3,Diff,10
R_2PdQi8meHWRd7Fb,5,Diff,10
R_3PaHNs19NCzMVbu,6,Diff,10
R_CjK7Ok90OSXQ3XH,5,Diff,10
R_1lgEwIKXFHGT01V,4,Diff,10
R_2qq1JLwmdrdJM9d,6,Diff,10
R_ZrTEV9TpypUZEC5,3,Diff,10
R_3Gq55dSXHC6ANc8,5,Diff,10
R_3D8b4ozl4q217Ie,4,Diff,10
R_qV03fIB34drHELn,4,Diff,10
R_1mRh44rpwMf0PbH,6,Diff,10
R_3gNkgaxQ9C21dQW,6,Diff,10
R_21umvRGJCCZXoit,5,Diff,10
R_BKctGx9a1Hi7w4h,4,Diff,11
R_u2ffULg0uVmoetj,5,Diff,11
R_2vf9l3GOwanVBOH,6,Diff,11
R_OqjAwL4brYESqul,6,Diff,11
R_1LG8FwYsk4Xgq61,5,Diff,11
R_2wQZuV97sKRkDfp,5,Diff,11
R_2dsf9d9zlzEbaRw,6,Diff,11
R_3j0ZzVXSe6NB0v0,6,Diff,11
R_2SqwKT4bUhZVaYX,4,Diff,11
R_6yuZ6GaDGqciNE1,6,Diff,11
R_22DGKB9Dz59SJIt,5,Diff,11
R_5iDE07CUBSNZdqF,6,Diff,11
R_2w61flKU0TAtmrX,5,Diff,11
R_2Y4gtCNHITcznSw,6,Diff,11
R_2qDHMLvHLCvMWMS,6,Diff,11
R_bg7cQUV93CWU245,5,Diff,11
R_2OTJk9jZohSfhSm,6,Diff,11
R_pGZjTA8wFerMwcV,4,Diff,11
R_ypTZBjEyvsMpFG9,6,Diff,11
R_2YkUceTXXRwe7af,5,Diff,11
R_3D2u0Wq74kM9j2C,6,Diff,11
R_2Pv6m5XVNiv6pPQ,6,Diff,11
R_T1l2TIrq1do7Orn,5,Diff,11
R_9KphKBeCPmqzBCl,4,Diff,11
R_3qKjZplc0t8Y2IU,6,Diff,11
R_4GA7uQFTqbGKnlf,6,Diff,11
R_1hEVfCsYXJCzsVp,4,Diff,11
R_cHiCbzLrQrYeizP,6,Diff,11
R_3fQa4YiudlrrSLd,6,Diff,11
R_z0gtYvawsJg834J,5,Diff,11
R_2SvKoXHDxtivA4o,4,Diff,11
R_CeG821dsnmsmiZP,6,Diff,11
R_3MG93Py9LV1lYqI,6,Diff,11
