"sentID","CompLcase","popularity","percent"
1,"de koffie",28,52.3364485981308
1,"de thee",22,41.1214953271028
1,"",1,1.86915887850467
1,"de koster",1,1.86915887850467
2,"een boek",20,37.3831775700935
2,"het boek",7,13.0841121495327
2,"de brochure",4,7.47663551401869
2,"de informatie",3,5.60747663551402
2,"een artikel",2,3.73831775700935
2,"het artikel",2,3.73831775700935
2,"het tijdschrift",2,3.73831775700935
2,"",1,1.86915887850467
2,"dat artikel",1,1.86915887850467
2,"dat boek",1,1.86915887850467
2,"de avonturen",1,1.86915887850467
2,"de boeken",1,1.86915887850467
2,"de folder",1,1.86915887850467
2,"een brochure",1,1.86915887850467
2,"een interview",1,1.86915887850467
2,"een tijdschrift",1,1.86915887850467
2,"het handboek",1,1.86915887850467
2,"het lezen",1,1.86915887850467
2,"websites",1,1.86915887850467
3,"de chocolade",21,39.2523364485981
3,"de boter",20,37.3831775700935
3,"de chocola",10,18.6915887850467
3,"",1,1.86915887850467
4,"de fiets",48,89.7196261682243
4,"hun fiets",1,1.86915887850467
4,"hun kantoor",1,1.86915887850467
4,"kantoor",1,1.86915887850467
4,"maandag",1,1.86915887850467
5,"de schat",50,93.4579439252336
5,"een schat",1,1.86915887850467
5,"het benzinestation",1,1.86915887850467
6,"het zwembad",52,97.196261682243
7,"de thee",48,89.7196261682243
7,"ons",2,3.73831775700935
7,"haar dochter",1,1.86915887850467
7,"ons allen",1,1.86915887850467
8,"de oven",50,93.4579439252336
8,"de aardappels",1,1.86915887850467
8,"de pan",1,1.86915887850467
9,"de cadeautjes",25,46.7289719626168
9,"de cadeaus",13,24.2990654205607
9,"cadeautjes",5,9.34579439252336
9,"de kadootjes",3,5.60747663551402
9,"cadeaus",2,3.73831775700935
9,"cadeau'tjes",1,1.86915887850467
9,"de dennenaalden",1,1.86915887850467
9,"de pakjes",1,1.86915887850467
9,"veel cadeautjes",1,1.86915887850467
10,"het team",29,54.2056074766355
10,"een team",5,9.34579439252336
10,"zijn team",4,7.47663551401869
10,"",2,3.73831775700935
10,"de dames",2,3.73831775700935
10,"de jeugd",2,3.73831775700935
10,"het eerste",2,3.73831775700935
10,"de kids",1,1.86915887850467
10,"de ploeg",1,1.86915887850467
10,"de recreanten",1,1.86915887850467
10,"het beloftenteam",1,1.86915887850467
10,"het damesteam",1,1.86915887850467
10,"het seniorenteam",1,1.86915887850467
11,"de post",43,80.3738317757009
11,"een postzegel",5,9.34579439252336
11,"een envelop",3,5.60747663551402
11,"de postzegels",1,1.86915887850467
12,"de auto",41,76.6355140186916
12,"de bus",5,9.34579439252336
12,"de paraplu",2,3.73831775700935
12,"de tram",1,1.86915887850467
12,"de trein",1,1.86915887850467
12,"een paraplu",1,1.86915887850467
12,"het ov",1,1.86915887850467
13,"de dokter",39,72.8971962616822
13,"de huisarts",11,20.5607476635514
13,"de doktor",1,1.86915887850467
13,"naar bed",1,1.86915887850467
15,"het gangpad",25,46.7289719626168
15,"het schap",9,16.8224299065421
15,"het pad",7,13.0841121495327
15,"de gang",5,9.34579439252336
15,"de rij",5,9.34579439252336
15,"de schappen",1,1.86915887850467
16,"de krant",47,87.8504672897196
16,"een boek",4,7.47663551401869
16,"de bijbel",1,1.86915887850467
17,"de stoel",52,97.196261682243
18,"de stad",26,48.5981308411215
18,"het winkelcentrum",12,22.4299065420561
18,"de winkel",5,9.34579439252336
18,"het centrum",3,5.60747663551402
18,"een winkelcentrum",2,3.73831775700935
18,"de winkelstraat",1,1.86915887850467
18,"het shoppingcenter",1,1.86915887850467
18,"het warenhuis",1,1.86915887850467
18,"in de stad",1,1.86915887850467
19,"het raam",33,61.6822429906542
19,"de ramen",10,18.6915887850467
19,"de deur",8,14.9532710280374
19,"de deuren",1,1.86915887850467
20,"de afwas",49,91.588785046729
20,"de vaat",3,5.60747663551402
21,"de weg",39,72.8971962616822
21,"het verkeer",8,14.9532710280374
21,"de baan",1,1.86915887850467
21,"de omgeving",1,1.86915887850467
21,"de snelheid",1,1.86915887850467
21,"de verkeersborden",1,1.86915887850467
21,"het wegdek",1,1.86915887850467
22,"het bord",49,91.588785046729
22,"het schoolbord",3,5.60747663551402
23,"het antwoord",40,74.7663551401869
23,"een antwoord",5,9.34579439252336
23,"de antwoorden",3,5.60747663551402
23,"de reactie",2,3.73831775700935
23,"een reactie",2,3.73831775700935
24,"het strand",37,69.1588785046729
24,"het park",7,13.0841121495327
24,"de plas",2,3.73831775700935
24,"buiten",1,1.86915887850467
24,"een meer",1,1.86915887850467
24,"een strand",1,1.86915887850467
24,"het grasveld",1,1.86915887850467
24,"het meer",1,1.86915887850467
24,"het strandje",1,1.86915887850467
25,"het bos",45,84.1121495327103
25,"het park",5,9.34579439252336
25,"de tuin",2,3.73831775700935
26,"het kampvuur",33,61.6822429906542
26,"een hut",5,9.34579439252336
26,"de hut",3,5.60747663551402
26,"het vuur",3,5.60747663551402
26,"een kampvuur",2,3.73831775700935
26,"een vuur",2,3.73831775700935
26,"een vuurtje",2,3.73831775700935
26,"de kachel",1,1.86915887850467
26,"een boomhut",1,1.86915887850467
27,"het schoolplein",21,39.2523364485981
27,"het plein",18,33.6448598130841
27,"het speelplein",7,13.0841121495327
27,"de speelplaats",2,3.73831775700935
27,"het klimrek",2,3.73831775700935
27,"",1,1.86915887850467
27,"de glijbaan",1,1.86915887850467
28,"het ontbijt",48,89.7196261682243
28,"de brunch",3,5.60747663551402
28,"iedereen",1,1.86915887850467
29,"de kast",28,52.3364485981308
29,"de boekenkast",22,41.1214953271028
