sentID,SentenceContext,comp.det,comp.noun,sentenceClosure,compLower,popularity,nComp,percent,above70,,,Lg10WF
59,"Door de opkomst van de computer, kun je tegenwoordig binnen een paar seconden bijna alle informatie vinden op",het,internet,zonder al teveel moeite.,het internet,46,47,97.87234043,1,,,2.9355
62,"Om de betekenis van dat woord te achterhalen, zocht ze het op in",het,woordenboek,uit haar moeders boekenkast.,het woordenboek,45,49,91.83673469,1,,,1.9138
63,Verkeersborden zijn heel belangrijk in,het,verkeer,voor ieders veiligheid.,het verkeer,45,48,93.75,1,,,2.3909
64,De secretaresse van de directeur schreef de notulen tijdens,de,vergadering,snel op.,de vergadering,40,48,83.33333333,1,,,2.4281
66,Veel mensen gaan wekelijks gokken in,het,casino,maar ze verliezen bijna altijd.,het casino,39,49,79.59183673,1,,,3.5947
67,Tijdens de korte pauze was Aafke nog op het schoolplein toen,de,bel,al ging.,de bel,45,49,91.83673469,1,,,2.9741
68,Na het dagje uit besloten de dames nog een drankje te doen in,het,cafe,op de hoek van de straat.,het cafe,40,49,81.63265306,1,,,1.6232
69,Michael heeft net nieuwe boxen voor zijn televisie gekocht waardoor,het,geluid,nu nog beter klinkt.,het geluid,36,46,78.26086957,1,,,2.29
70,Andrea en Evelien gingen samen fitnessen in,de,sportschool,bij hen in de buurt.,de sportschool,35,49,71.42857143,1,,,2.8476
74,Voor ze de deur uitgaat maakt Nikki zichzelf altijd op voor,de,spiegel,in haar kamer.,de spiegel,49,52,94.23076923,1,,,2.415
75,December is mijn favoriete maand van,het,jaar,vanwege de sneeuw en de gezelligheid.,het jaar,53,53,100,1,,,1.5051
77,Alle ingredi•À_nten voor het gerecht had Lisanne in de keuken op,het,aanrecht,gelegd.,het aanrecht,48,52,92.30769231,1,,,3.4663
79,"Roodkapje liep door het bos naar het huis van haar oma, maar achter de bomen wachtte",de,wolf,op haar.,de wolf,42,45,93.33333333,1,,,2.8768
80,"Toen hij hoorde dat hij zijn examen gehaald had, sprong hij een gat in",de,lucht,van blijdschap.,de lucht,53,53,100,1,,,2.6425
83,"Karel heeft honderd euro aan Frank geleend, dus staat Frank nu bij Karel in",het,krijt,en werkt hij hard om het terug te verdienen.,het krijt,40,53,75.47169811,1,,,3.3979
84,"De vergadering ging grotendeels zoals verwacht, alleen het nieuws van Jan kwam nogal onverwachts uit",de,hoek,en dus schrokken wij.,de hoek,43,50,86,1,,,2.2095
85,E_n van de meest typische lastdieren in de woestijn is natuurlijk,de,kameel,met zijn bulten.,de kameel,49,52,94.23076923,1,,,2.8254
87,"Nadat ik naar het buitenland vertrok, heb ik nooit meer iets van haar gehoord. Het is bij haar altijd uit het oog uit",het,hart,en dat vind ik wel heel jammer.,het hart,50,53,94.33962264,1,,,3.1455
88,Het is niet eerlijk om tijdens een ruzie oude koeien uit,de,sloot,te halen.,de sloot,51,53,96.22641509,1,,,3.6191
89,"Sommige mensen hebben altijd pech, die vissen altijd achter",het,net,en dat is best sneu.,het net,51,52,98.07692308,1,,,2.8488
90,"Het was snikheet in de auto toen zij in de file stonden, dus zette Fiona",de,airco,aan.,de airco,41,53,77.35849057,1,,,4.1345
92,De huur van je kamer wordt altijd afgeschreven aan het begin van,de,maand,waarin je huurt.,de maand,52,53,98.11320755,1,,,1.7559
93,Na het optreden werd de popster met de limousine teruggebracht naar,het,hotel,waar zij sliep.,het hotel,50,53,94.33962264,1,,,3.3176
94,"Nadat de politie dagenlang de verdachte had verhoord, kwam eindelijk de aap uit",de,mouw,", wat het een stuk gemakkelijker maakte om de medeplichtige te vinden.",de mouw,53,53,100,1,,,2.1399
95,Omdat Peter net de loterij heeft gewonnen smijt hij zijn geld nu over,de,balk,", omdat het kan.",de balk,46,53,86.79245283,1,,,2.2577
97,"Zijn schoolcijfers zijn ontzettend slecht, hij gooit er echt met",de,pet,naar.,de pet,45,52,86.53846154,1,,,2.0531
98,In het dorp luidt elke zondagochtend de klok van,de,kerk,erg hard.,de kerk,44,53,83.01886792,1,,,2.7774
100,"Op de radio is eerder gemeld dat de wegen glad zouden worden, maar deze waarschuwing sloeg Jan in",de,wind,toen hij de weg opging.,de wind,46,53,86.79245283,1,,,3.0795
101,De grote spin in het raam joeg haar de stuipen op,het,lijf,toen ze hem ontdekte.,het lijf,51,53,96.22641509,1,,,4.5231
102,"Iedereen had ontzettend veel zin in de picknick, maar het weer gooide helaas roet in",het,eten,voor die dag.,het eten,52,53,98.11320755,1,,,1.5185
103,Om de prinses te redden uit de toren moest de ridder het eerst opnemen tegen,de,draak,maar dat had hij ervoor over.,de draak,39,52,75,1,,,1.8633
104,De wandeltocht zou beginnen aan de voet van,de,berg,om 8 uur 's ochtends.,de berg,46,52,88.46153846,1,,,2.9605
105,De gevangenen bleken ontsnapt te zijn door het doorzagen van,de,tralies,met een nagelvijl.,de tralies,38,53,71.69811321,1,,,2.9479
106,"De schoonmaakster onderhoudt het hele huis behalve de tuin, dat is de taak van",de,tuinman,en zijn snoeischaar.,de tuinman,49,53,92.45283019,1,,,3.5903
107,Die stunt van Jan ging maar net goed. Hij kroop door het oog van,de,naald,maar gelukkig mankeert hij niks.,de naald,53,53,100,1,,,4.554
108,"Toen het water voor de pasta begon te koken, haalde ik snel de deksel van",de,pan,zodat het niet over zou koken.,de pan,55,58,94.82758621,1,,,4.3017
109,Het eerste wat Isabella bekeek in haar nieuwe appartement was het prachtige uitzicht vanaf,het,balkon,vanwaar ze kon uitkijken over de hele stad.,het balkon,44,58,75.86206897,1,,,2.7143
110,Bij de opening van de nieuwe brug was de koningin uitgenodigd voor het doorknippen van,het,lint,en een toespraak.,het lint,44,58,75.86206897,1,,,3.3393
111,Na de salarisonderhandelingen tekende de werknemer,het,contract,met zijn nieuwe werkgever.,het contract,48,58,82.75862069,1,,,2.0755
113,Tijdens zijn wandeling langs het spoor schrok Jan zich een hoedje door het plotselinge getoeter van,de,trein,omdat hij helemaal in zijn gedachten verzonken was.,de trein,42,58,72.4137931,1,,,3.1163
114,Voor zijn verjaardag had Hendrik een bioscoopbon gekregen. Een week later ging hij daarmee naar,de,bioscoop,met zijn vrienden.,de bioscoop,55,58,94.82758621,1,,,3.9339
116,"De stroom leek plotseling uitgevallen, dus checkte Karel even de stoppen in",de,meterkast,op de gang.,de meterkast,46,58,79.31034483,1,,,2.6758
117,Voor de pauze sprak ik met mijn collega's af te gaan lunchen in,de,kantine,op het werk.,de kantine,43,58,74.13793103,1,,,4.6431
118,De student studeerde de hele nacht voor,het,tentamen,van de volgende morgen.,het tentamen,44,58,75.86206897,1,,,2.3139
120,Marc had veel te weinig tijd om het hele boek te lezen voor zijn literatuurtentamen en las daarom alleen,de,samenvatting,"op internet, waarin de belangrijkste informatie opgesomd stond.",de samenvatting,41,58,70.68965517,1,,,2.4031
121,Agnes was op vakantie erg bruin geworden van,de,zon,en zag er uitgerust uit.,de zon,45,58,77.5862069,1,,,3.6124
122,"Als je altijd te laat thuis bent voor het eten, vind je vaak de hond in",de,pot,en dan heb je pech.,de pot,49,58,84.48275862,1,,,3.5889
123,Ik vind het erg zielig dat leeuwen in zulke kleine kooien leven in,de,dierentuin,terwijl het wilde dieren zijn.,de dierentuin,43,51,84.31372549,1,,,2.2648
124,Om die ene lekkere biefstuk te eten spraken Jim en Roos af bij,het,restaurant,waar zij graag kwamen.,het restaurant,54,58,93.10344828,1,,,1.9031
